Ort,PLZ,Gemeindename,Kantonskürzel,Einwohner,YB (absolut),YB (relativ),SCB (absolut),SCB (relativ)
Blausee-Mitholz,3717,Kandergrund,BE,165,0,0,0,0
Bleienbach,3368,Bleienbach,BE,661,4,6.051437216,4,6.051437216
Bleiken b. Oberdiessbach,3674,Oberdiessbach,BE,369,4,10.8401084,1,2.7100271
Blessens,1675,Rue,FR,701,0,0,0,0
Blignou (Ayent),1966,Ayent,VS,301,0,0,1,3.322259136
Blitzingen,3989,Blitzingen,VS,22,0,0,0,0
Blonay,1807,Blonay,VD,6069,0,0,3,0.4943153732
Blumenstein,3638,Blumenstein,BE,1163,5,4.299226139,4,3.439380911
Böbikon,5334,Böbikon,AG,163,0,0,0,0
Böckten,4461,Böckten,BL,792,0,0,2,2.525252525
Bodio TI,6743,Bodio,TI,1042,0,0,0,0
Boécourt,2856,Boécourt,JU,755,0,0,0,0
Bofflens,1353,Bofflens,VD,186,0,0,0,0
Bogis-Bossey,1279,Bogis-Bossey,VD,1210,0,0,0,0
Bogno,6951,Lugano,TI,90,0,0,0,0
Bôle,2014,Milvignes,NE,1925,0,0,1,0.5194805195
Bolken,4556,Bolken,SO,977,2,2.047082907,5,5.117707267
