Ort,PLZ,Gemeindename,Kantonskürzel,Einwohner,YB (absolut),YB (relativ),SCB (absolut),SCB (relativ)
S. Bernardino,6565,Mesocco,GR,188,0,0,0,0
S. Carlo (Poschiavo),7741,Poschiavo,GR,573,0,0,0,0
S. Carlo (Val Bavona),6690,Cevio,TI,484,0,0,0,0
S. Nazzaro,6575,Gambarogno,TI,435,0,0,0,0
S. Pietro,6854,Stabio,TI,1701,0,0,0,0
S. Vittore,6534,San Vittore,GR,754,0,0,0,0
S. Vittore,6534,San Vittore,GR,754,0,0,0,0
Saanen,3792,Saanen,BE,1720,0,0,0,0
Saanenmöser,3777,Saanen,BE,335,0,0,0,0
Saas im Prättigau,7247,Klosters-Serneus,GR,748,0,0,0,0
Saas-Almagell,3905,Saas-Almagell,VS,393,0,0,0,0
Saas-Balen,3908,Saas-Balen,VS,399,0,0,1,2.506265664
Saas-Fee,3906,Saas-Fee,VS,1659,0,0,3,1.808318264
Saas-Grund,3910,Saas-Grund,VS,1058,0,0,0,0
Sachseln,6072,Sachseln,OW,4434,0,0,2,0.451059991
Saclentse,1996,Nendaz,VS,1156,0,0,0,0
Safenwil,5745,Safenwil,AG,3588,0,0,5,1.393534002
Safien Platz,7107,Safiental,GR,152,0,0,0,0
Safnern,2553,Safnern,BE,1886,1,0.5302226935,1,0.5302226935
Sagno,6839,Breggia,TI,203,0,0,0,0
Sagogn,7152,Sagogn,GR,673,0,0,0,0
Saicourt,2732,Saicourt,BE,2284,0,0,1,0.4378283713
Saignelégier,2350,Saignelégier,JU,2291,0,0,1,0.4364906155
Saillon,1913,Saillon,VS,2363,0,0,0,0
Saillon,1913,Saillon,VS,2363,0,0,0,0
Sala Capriasca,6954,Capriasca,TI,452,0,0,0,0
Sala Capriasca,6954,Capriasca,TI,452,0,0,0,0
Saland,8493,Bauma,ZH,1610,0,0,0,0
Salavaux,1585,Vully-les-Lacs,VD,575,0,0,1,1.739130435
Salenstein,8268,Salenstein,TG,296,0,0,0,0
Sâles (Gruyère),1625,Sâles,FR,636,1,1.572327044,0,0
Salez,9465,Sennwald,SG,731,0,0,0,0
Salgesch,3970,Salgesch,VS,1399,0,0,1,0.7147962831
Salins,1991,Sion,VS,457,0,0,0,0
Salmsach,8599,Salmsach,TG,1368,0,0,0,0
Salorino,6872,Mendrisio,TI,274,0,0,0,0
Salouf,7462,Surses,GR,216,0,0,0,0
Salvan,1922,Salvan,VS,724,0,0,0,0
Salvenach,1794,Murten,FR,513,2,3.898635478,2,3.898635478
Samedan,7503,Samedan,GR,3007,0,0,0,0
Samnaun Dorf,7563,Samnaun,GR,331,0,0,0,0
Samnaun-Compatsch,7562,Samnaun,GR,458,0,0,0,0
Samstagern,8833,Richterswil,ZH,3258,0,0,0,0
Sangernboden,1738,Guggisberg,BE,210,0,0,0,0
Sargans,7320,Sargans,SG,5964,0,0,0,0
Säriswil,3049,Wohlen bei Bern,BE,474,3,6.329113924,14,29.53586498
Sarmenstorf,5614,Sarmenstorf,AG,2677,1,0.3735524841,0,0
Sarn,7423,Cazis,GR,130,0,0,0,0
Sarnen,6060,Sarnen,OW,6198,1,0.1613423685,4,0.645369474
Sarreyer,1948,Bagnes,VS,377,0,0,0,0
Sarzens,1683,Sarzens,VD,145,0,0,1,6.896551724
Sassel,1534,Valbroye,VD,189,0,0,0,0
Sassel,1534,Valbroye,VD,189,0,0,0,0
Satigny,1242,Satigny,GE,3962,34,8.581524483,0,0
Sattel,6417,Sattel,SZ,1854,4,2.157497303,0,0
Saubraz,1189,Saubraz,VD,372,0,0,0,0
Saulcy,2873,Saulcy,JU,255,0,0,0,0
Saules,2063,Val-de-Ruz,NE,228,0,0,0,0
Saules BE,2732,Saules (BE),BE,2284,0,0,1,0.4378283713
Savagnier,2065,Val-de-Ruz,NE,1149,0,0,0,0
Savigny,1073,Savigny,VD,2686,0,0,0,0
Savognin,7460,Surses,GR,1009,0,0,0,0
Savosa,6942,Savosa,TI,2159,0,0,0,0
Sax,9468,Sennwald,SG,915,0,0,0,0
Saxeten,3813,Saxeten,BE,98,0,0,0,0
Saxon,1907,Saxon,VS,4993,0,0,0,0
Saxonne (Ayent),1966,Ayent,VS,301,0,0,1,3.322259136
Says,7202,Trimmis,GR,161,0,0,0,0
Scareglia,6951,Lugano,TI,90,0,0,0,0
Schachen b. Herisau,9112,Herisau,AR,399,0,0,0,0
Schachen b. Reute,9414,Reute (AR),AR,377,0,0,0,0
Schachen LU,6105,Werthenstein,LU,1276,0,0,0,0
Schaffhausen,8200,Schaffhausen,SH,26453,1,0.0378028957,0,0
Schaffhausen,8203,Schaffhausen,SH,3179,0,0,0,0
Schaffhausen,8207,Schaffhausen,SH,5310,0,0,0,0
Schaffhausen,8208,Schaffhausen,SH,28,0,0,0,0
Schafhausen im Emmental,3415,Hasle bei Burgdorf,BE,2201,31,14.08450704,3,1.363016811
Schafisheim,5503,Schafisheim,AG,2868,0,0,1,0.3486750349
Schalchen,8489,Wildberg,ZH,985,0,0,0,0
Schalunen,3314,Fraubrunnen,BE,478,4,8.368200837,3,6.276150628
Schangnau,6197,Schangnau,BE,886,0,0,0,0
Schänis,8718,Schänis,SG,2855,0,0,1,0.350262697
Scharans,7412,Scharans,GR,826,0,0,0,0
Scharnachtal,3722,Reichenbach im Kandertal,BE,538,0,0,4,7.434944238
Schattdorf,6467,Schattdorf,UR,4751,0,0,0,0
Schattenhalb,3860,Schattenhalb,BE,4333,6,1.384721902,21,4.846526656
Scheid,7419,Domleschg,GR,107,0,0,0,0
Schelten,2827,Schelten,BE,529,0,0,0,0
Schenkon,6214,Schenkon,LU,2744,1,0.3644314869,2,0.7288629738
Scherz,5246,Scherz,AG,649,0,0,0,0
Scherzingen,8596,Münsterlingen,TG,1673,0,0,0,0
Scheunen,3305,Jegenstorf,BE,417,8,19.18465228,9,21.58273381
Scheuren,2556,Scheuren,BE,458,4,8.733624454,2,4.366812227
Schiers,7220,Schiers,GR,2054,0,0,1,0.4868549172
Schiers,7220,Schiers,GR,2054,0,0,1,0.4868549172
Schindellegi,8834,Feusisberg,SZ,3361,0,0,1,0.2975304969
Schinznach Bad,5116,Schinznach-Bad,AG,1195,0,0,1,0.8368200837
Schinznach Dorf,5107,Schinznach,AG,1747,0,0,1,0.5724098454
Schlans,7168,Trun,GR,80,0,0,0,0
Schlatt TG,8252,Schlatt (TG),TG,1635,0,0,0,0
Schlatt ZH,8418,Schlatt (ZH),ZH,738,0,0,0,0
Schlattingen,8255,Basadingen-Schlattingen,TG,756,0,0,2,2.645502646
Schleinikon,8165,Schleinikon,ZH,1362,0,0,0,0
Schleitheim,8226,Schleitheim,SH,1721,0,0,0,0
Schlierbach,6231,Schlierbach,LU,778,0,0,2,2.570694087
Schlieren,8952,Schlieren,ZH,17652,5,0.2832540222,4,0.2266032178
Schliern b. Köniz,3098,Köniz,BE,6253,131,20.94994403,64,10.23508716
Schlossrued,5044,Schlossrued,AG,800,0,0,0,0
Schlosswil,3082,Schlosswil,BE,627,4,6.379585327,10,15.94896332
Schluein,7151,Schluein,GR,590,0,0,0,0
Schmerikon,8716,Schmerikon,SG,3471,1,0.2881014117,0,0
Schmidigen-Mühleweg,3464,Walterswil (BE),BE,249,0,0,1,4.016064257
Schmidrüti,8495,Turbenthal,ZH,205,0,0,0,0
Schmidshof,9565,Bussnang,TG,447,0,0,0,0
Schmiedrued,5046,Schmiedrued,AG,443,0,0,1,2.257336343
Schmitten (Albula),7493,Schmitten (GR),GR,252,0,0,0,0
Schmitten FR,3185,Schmitten (FR),FR,4006,11,2.745881178,12,2.99550674
Schnaus,7130,Ilanz/Glion,GR,2404,0,0,0,0
Schnaus,7130,Ilanz/Glion,GR,2404,0,0,0,0
Schneisingen,5425,Schneisingen,AG,1316,0,0,0,0
Schnottwil,3253,Schnottwil,SO,1037,12,11.57184185,3,2.892960463
Schocherswil,8581,Amriswil,TG,368,0,0,0,0
Schöfflisdorf,8165,Schöfflisdorf,ZH,1362,0,0,0,0
Schöftland,5040,Schöftland,AG,4038,0,0,6,1.485884101
Schönenbaumgarten,8585,Langrickenbach,TG,314,0,0,0,0
Schönenberg an der Thur,9215,Kradolf-Schönenberg,TG,1222,0,0,0,0
Schönenberg ZH,8824,Schönenberg (ZH),ZH,1885,0,0,0,0
Schönenbuch,4124,Schönenbuch,BL,1414,0,0,0,0
Schönengrund,9105,Schönengrund,AR,509,0,0,0,0
Schönenwerd,5012,Schönenwerd,SO,4859,0,0,2,0.4116073266
Schongau,6288,Schongau,LU,977,0,0,0,0
Schönholzerswilen,8577,Schönholzerswilen,TG,837,0,0,0,0
Schönried,3778,Saanen,BE,1039,0,0,0,0
Schötz,6247,Schötz,LU,3635,1,0.2751031637,2,0.5502063274
Schübelbach,8862,Schübelbach,SZ,1752,0,0,0,0
Schuders,7228,Schiers,GR,51,0,0,0,0
Schüpbach,3535,Signau,BE,1016,1,0.9842519685,0,0
Schupfart,4325,Schupfart,AG,758,0,0,1,1.319261214
Schüpfen,3054,Schüpfen,BE,3670,60,16.34877384,85,23.16076294
Schüpfheim,6170,Schüpfheim,LU,4093,2,0.48863914,1,0.24431957
Schwaderloch,5326,Schwaderloch,AG,687,0,0,0,0
Schwadernau,2556,Schwadernau,BE,458,4,8.733624454,2,4.366812227
Schwanden (Sigriswil),3657,Sigriswil,BE,565,0,0,1,1.769911504
Schwanden b. Brienz,3855,Schwanden bei Brienz,BE,2924,4,1.367989056,5,1.70998632
Schwanden GL,8762,Glarus Süd,GL,2552,0,0,1,0.3918495298
Schwanden im Emmental,3433,Rüderswil,BE,288,0,0,1,3.472222222
Schwändi b. Schwanden,8762,Glarus Süd,GL,2552,0,0,1,0.3918495298
Schwarzenbach (Huttwil),4953,Huttwil,BE,321,2,6.230529595,0,0
Schwarzenbach LU,6215,Beromünster,LU,2785,0,0,2,0.7181328546
Schwarzenbach SG,9536,Jonschwil,SG,1943,0,0,0,0
Schwarzenberg LU,6103,Schwarzenberg,LU,1475,0,0,0,0
Schwarzenburg,3150,Schwarzenburg,BE,4309,29,6.730099791,41,9.51496867
Schwarzenegg,3616,Unterlangenegg,BE,473,0,0,5,10.57082452
Schwarzhäusern,4911,Schwarzhäusern,BE,501,0,0,4,7.984031936
Schwarzsee,1716,Plaffeien,FR,1328,1,0.7530120482,1,0.7530120482
Schweizersholz,9223,Bischofszell,TG,292,0,0,0,0
Schwellbrunn,9103,Schwellbrunn,AR,1492,0,0,0,0
Schwende,9057,Schwende,AI,1863,0,0,0,0
Schwenden im Diemtigtal,3757,Diemtigen,BE,267,0,0,0,0
Schwendi im Weisstannental,7325,Mels,SG,106,0,0,0,0
Schwendibach,3624,Schwendibach,BE,1216,2,1.644736842,2,1.644736842
Schwerzenbach,8603,Schwerzenbach,ZH,4957,0,0,0,0
Schwyz,6430,Schwyz,SZ,6172,0,0,6,0.97213221
Scudellate,6838,Breggia,TI,231,0,0,0,0
Scuol,7550,Scuol,GR,2524,0,0,0,0
Sédeilles,1554,Villarzel,VD,195,0,0,0,0
Sedrun,7188,Tujetsch,GR,925,0,0,0,0
Seeberg,3365,Seeberg,BE,564,5,8.865248227,3,5.319148936
Seedorf BE,3267,Seedorf (BE),BE,1637,17,10.38485034,15,9.163103238
Seedorf UR,6462,Seedorf (UR),UR,1834,0,0,0,0
Seehof,2747,Seehof,BE,212,0,0,0,0
Seelisberg,6377,Seelisberg,UR,678,0,0,0,0
Seengen,5707,Seengen,AG,3714,0,0,3,0.8077544426
Seewen SO,4206,Seewen,SO,1003,0,0,0,0
Seewen SZ,6423,Schwyz,SZ,2889,0,0,0,0
Seewil,3256,Rapperswil (BE),BE,355,5,14.08450704,13,36.61971831
Seewis Dorf,7212,Seewis im Prättigau,GR,1065,0,0,0,0
Seewis-Pardisla,7212,Seewis im Prättigau,GR,1065,0,0,0,0
Seewis-Schmitten,7212,Seewis im Prättigau,GR,1065,0,0,0,0
Seftigen,3662,Seftigen,BE,2221,11,4.952723998,12,5.402971634
Segnas,7186,Disentis/Mustér,GR,291,0,0,0,0
Seigneux,1525,Valbroye,VD,266,0,0,0,0
Seiry,1470,Lully (FR),FR,5689,0,0,0,0
Seleute,2888,Clos du Doubs,JU,57,0,0,0,0
Selkingen,3989,Grafschaft,VS,22,0,0,0,0
Selma,6545,Calanca,GR,18,0,0,0,0
Seltisberg,4411,Seltisberg,BL,1292,0,0,0,0
Selzach,2545,Selzach,SO,3183,2,0.6283380459,9,2.827521206
Sembrancher,1933,Sembrancher,VS,766,0,0,0,0
Sementina,6514,Sementina,TI,3075,0,0,0,0
Semione,6714,Serravalle,TI,307,0,0,0,0
Sempach,6204,Sempach,LU,4149,0,0,1,0.241021933
Sempach Station,6203,Neuenkirch,LU,1077,0,0,0,0
Semsales,1623,Semsales,FR,1347,0,0,0,0
Senarclens,1304,Senarclens,VD,3442,0,0,0,0
Senèdes,1724,Senèdes,FR,1379,0,0,1,0.7251631617
Sennhof (Winterthur),8482,Winterthur,ZH,1111,0,0,0,0
Sennwald,9466,Sennwald,SG,1416,0,0,0,0
Sent,7554,Scuol,GR,818,0,0,0,0
Seon,5703,Seon,AG,4807,0,0,6,1.248179738
Sergey,1355,Sergey,VD,242,0,0,0,0
Serneus,7249,Klosters-Serneus,GR,409,0,0,0,0
Serpiano,6867,Brusino Arsizio,TI,2,0,0,0,0
Servion,1077,Servion,VD,1128,0,0,0,0
Seseglio,6832,Chiasso,TI,510,0,0,0,0
Sessa,6997,Sessa,TI,684,0,0,0,0
Seuzach,8472,Seuzach,ZH,7201,1,0.1388696014,3,0.4166088043
Sévaz,1541,Sévaz,FR,406,0,0,0,0
Sevelen,9475,Sevelen,SG,4679,0,0,0,0
Sévery,1141,Sévery,VD,212,0,0,0,0
Sevgein,7127,Ilanz/Glion,GR,177,0,0,0,0
Sfazù,7742,Poschiavo,GR,1753,0,0,0,0
Siat,7157,Ilanz/Glion,GR,129,0,0,0,0
Siblingen,8225,Siblingen,SH,810,0,0,0,0
Siebnen,8854,Schübelbach,SZ,5342,0,0,0,0
Siegershausen,8573,Kemmental,TG,472,0,0,0,0
Sierre,3960,Anniviers,VS,13306,0,0,1,0.07515406583
Sierre,3960,Sierre,VS,13306,0,0,1,0.07515406583
Siggenthal Station,5301,Untersiggenthal,AG,625,0,0,0,0
Sigigen,6019,Ruswil,LU,521,0,0,0,0
Sigirino,6806,Monteceneri,TI,504,0,0,0,0
Siglistorf,5462,Siglistorf,AG,621,0,0,0,0
Signau,3534,Signau,BE,1721,5,2.905287623,0,0
Signèse (Ayent),1966,Ayent,VS,301,0,0,1,3.322259136
Signôra,6951,Lugano,TI,90,0,0,0,0
Signy,1274,Signy-Avenex,VD,464,0,0,0,0
Sigriswil,3655,Sigriswil,BE,1430,6,4.195804196,8,5.594405594
Sihlbrugg,6340,Neuheim,ZG,21217,2,0.09426403356,1,0.04713201678
Sihlbrugg Station,8135,Horgen,ZH,7330,0,0,2,0.272851296
Sihlwald,8135,Horgen,ZH,7330,0,0,2,0.272851296
Silenen,6473,Silenen,UR,1348,0,0,0,0
Sils im Domleschg,7411,Sils im Domleschg,GR,895,0,0,0,0
Sils/Segl Baselgia,7515,Sils im Engadin/Segl,GR,94,0,0,0,0
Sils/Segl Maria,7514,Sils im Engadin/Segl,GR,553,0,0,0,0
Silvaplana,7513,Silvaplana,GR,886,0,0,0,0
Silvaplana-Surlej,7513,Silvaplana,GR,886,0,0,0,0
Simplon Dorf,3907,Simplon,VS,316,0,0,0,0
Sins,5643,Sins,AG,3293,0,0,0,0
Sins,5643,Sins,AG,3293,0,0,0,0
Sion,1950,Sion,VS,25751,0,0,2,0.07766688672
Sirnach,8370,Sirnach,TG,5767,0,0,1,0.1734003815
Siselen BE,2577,Siselen,BE,599,14,23.37228715,6,10.01669449
Sisikon,6452,Sisikon,UR,394,0,0,0,0
Sissach,4450,Sissach,BL,6406,0,0,4,0.6244146113
Sisseln AG,4334,Sisseln,AG,1471,0,0,0,0
Sitterdorf,8589,Zihlschlacht-Sitterdorf,TG,902,0,0,0,0
Siviez (Nendaz),1997,Nendaz,VS,1748,0,0,1,0.5720823799
Siviriez,1678,Siviriez,FR,1041,1,0.9606147935,1,0.9606147935
Soazza,6562,Soazza,GR,361,0,0,0,0
Sobrio,6749,Sobrio,TI,78,0,0,0,0
Soglio,7610,Bregaglia,GR,197,0,0,0,0
Solduno,6600,Locarno,TI,11103,1,0.090065748,0,0
Solothurn,4500,Solothurn,SO,16599,33,1.988071571,27,1.626604012
Somazzo,6872,Mendrisio,TI,274,0,0,0,0
Someo,6674,Maggia,TI,260,0,0,0,0
Sommentier,1688,Vuisternens-devant-Romont,FR,325,0,0,0,0
Sommeri,8580,Sommeri,TG,11153,0,0,0,0
Sonceboz-Sombeval,2605,Sonceboz-Sombeval,BE,1849,0,0,3,1.622498648
Sonnental,9245,Oberbüren,SG,2282,0,0,0,0
Sonogno,6637,Sonogno,TI,94,0,0,0,0
Sonterswil,8564,Wäldi,TG,82,0,0,0,0
Sonvico,6968,Lugano,TI,561,0,0,0,0
Sonvilier,2615,Sonvilier,BE,1193,0,0,2,1.676445935
Sool,8762,Glarus Süd,GL,2552,0,0,1,0.3918495298
Soral,1286,Soral,GE,744,0,0,0,0
Sörenberg,6174,Flühli,LU,788,0,0,0,0
Sorengo,6924,Sorengo,TI,1868,0,0,0,0
Sorens,1642,Sorens,FR,1031,0,0,1,0.9699321048
Sornard (Nendaz),1997,Nendaz,VS,1748,0,0,1,0.5720823799
Sornetan,2716,Petit-Val,BE,137,0,0,0,0
Sorvilier,2736,Sorvilier,BE,255,0,0,0,0
Sottens,1062,Jorat-Menthue,VD,257,0,0,0,0
Soubey,2887,Soubey,JU,144,0,0,0,0
Souboz,2748,Petit-Val,BE,109,0,0,1,9.174311927
Soulce,2864,Haute-Sorne,JU,225,0,0,0,0
Soyhières,2805,Soyhières,JU,474,0,0,0,0
Speicher,9042,Speicher,AR,3438,0,0,0,0
Speicherschwendi,9037,Speicher,AR,728,0,0,1,1.373626374
Spiegel b. Bern,3095,Köniz,BE,3335,31,9.295352324,18,5.397301349
Spiez,3700,Spiez,BE,9439,35,3.708019917,69,7.310096409
Spiringen,6464,Spiringen,UR,805,0,0,0,0
Splügen,7435,Splügen,GR,326,0,0,0,0
Spreitenbach,8957,Spreitenbach,AG,10970,0,0,8,0.7292616226
Spruga,6663,Onsernone,TI,73,0,0,0,0
St-Aubin FR,1566,Saint-Aubin (FR),FR,1511,3,1.985440106,0,0
St-Aubin-Sauges,2024,Saint-Aubin-Sauges,NE,2409,0,0,0,0
St-Barthélemy VD,1040,Saint-Barthélemy (VD),VD,5391,0,0,1,0.1854943424
St-Blaise,2072,Saint-Blaise,NE,3270,7,2.140672783,0,0
St-Brais,2364,Saint-Brais,JU,232,0,0,0,0
St-Cergue,1264,Saint-Cergue,VD,2080,0,0,0,0
St-Cierges,1410,Montanaire,VD,771,0,0,0,0
St-George,1188,Saint-George,VD,1885,0,0,0,0
St-Germain (Savièse),1965,Savièse,VS,568,0,0,0,0
St-Gingolph,1898,Saint-Gingolph,VS,951,1,1.051524711,0,0
St-Imier,2610,Saint-Imier,BE,4572,12,2.624671916,9,1.968503937
St-Jean VS,3961,Anniviers,VS,457,0,0,0,0
St-Légier-La Chiésaz,1806,Saint-Légier-La Chiésaz,VD,5065,0,0,1,0.1974333662
St-Léonard,1958,Saint-Léonard,VS,2213,0,0,0,0
St-Livres,1176,Saint-Livres,VD,695,0,0,0,0
St-Luc,3961,Anniviers,VS,457,0,0,0,0
St-Martin FR,1609,Saint-Martin (FR),FR,573,0,0,0,0
St-Martin VS,1969,Saint-Martin (VS),VS,418,0,0,0,0
St-Maurice,1890,Saint-Maurice,VS,4375,0,0,0,0
St-Oyens,1187,Saint-Oyens,VD,315,0,0,0,0
St-Pierre-de-Clages,1955,Chamoson,VS,1986,0,0,0,0
St-Prex,1162,Saint-Prex,VD,5449,0,0,0,0
St-Romain (Ayent),1966,Ayent,VS,301,0,0,1,3.322259136
St-Saphorin (Lavaux),1071,Saint-Saphorin (Lavaux),VD,2101,0,0,0,0
St-Saphorin-sur-Morges,1113,Echichens,VD,540,0,0,0,0
St-Séverin,1975,Conthey,VS,452,0,0,0,0
St-Sulpice NE,2123,Val-de-Travers,NE,599,0,0,0,0
St-Sulpice VD,1025,Saint-Sulpice (VD),VD,3366,0,0,0,0
St-Triphon,1867,Ollon,VD,3590,0,0,1,0.278551532
St-Ursanne,2882,Clos du Doubs,JU,732,0,0,1,1.366120219
St-Ursanne,2882,Saint-Brais,JU,732,0,0,1,1.366120219
St. Antoni,1713,St. Antoni,FR,1908,2,1.048218029,1,0.5241090147
St. Antönien,7246,Luzein,GR,243,0,0,0,0
St. Erhard,6212,Knutwil,LU,1348,0,0,0,0
St. Gallen,9000,St. Gallen,SG,32709,2,0.06114525054,3,0.09171787581
St. Gallen,9008,St. Gallen,SG,7653,0,0,0,0
St. Gallen,9010,St. Gallen,SG,2988,0,0,0,0
St. Gallen,9011,St. Gallen,SG,3395,0,0,0,0
St. Gallen,9012,St. Gallen,SG,2304,0,0,0,0
St. Gallen,9014,St. Gallen,SG,10197,0,0,1,0.09806805923
St. Gallen,9015,St. Gallen,SG,4473,0,0,0,0
St. Gallen,9016,St. Gallen,SG,10862,0,0,0,0
St. Gallenkappel,8735,Eschenbach (SG),SG,1302,0,0,0,0
St. German,3942,Raron,VS,1543,0,0,0,0
St. Josefen,9030,Gaiserwald,SG,4906,0,0,0,0
St. Margarethen TG,9543,Münchwilen (TG),TG,1022,0,0,0,0
St. Margrethen SG,9430,St. Margrethen,SG,5728,0,0,0,0
St. Margrethenberg,7313,Pfäfers,SG,107,0,0,0,0
St. Martin (Lugnez),7116,Vals,GR,45,0,0,0,0
St. Moritz,7500,St. Moritz,GR,4662,0,0,0,0
St. Niklaus VS,3924,St. Niklaus,VS,2017,0,0,0,0
St. Niklausen LU,6005,Horw,LU,18065,0,0,1,0.05535566012
St. Niklausen OW,6066,Kerns,OW,295,0,0,0,0
St. Pantaleon,4421,Nuglar-St. Pantaleon,SO,378,0,0,0,0
St. Pelagiberg,9225,Hauptwil-Gottshaus,TG,305,0,0,0,0
St. Peter,7028,Arosa,GR,173,0,0,0,0
St. Peterzell,9127,Neckertal,SG,671,0,0,0,0
St. Silvester,1736,St. Silvester,FR,955,0,0,0,0
St. Stephan,3772,St. Stephan,BE,821,0,0,1,1.218026797
St. Urban,4915,Pfaffnau,LU,841,0,0,0,0
St. Ursen,1717,St. Ursen,FR,1281,0,0,0,0
Sta. Maria in Calanca,6541,Santa Maria in Calanca,GR,113,0,0,0,0
Sta. Maria Val Müstair,7536,Val Müstair,GR,323,0,0,0,0
Staad SG,9422,Thal,SG,2632,0,0,0,0
Stabio,6855,Stabio,TI,2759,0,0,0,0
Stachen,9320,Arbon,TG,11975,0,0,0,0
Stadel (Winterthur),8404,Winterthur,ZH,17498,0,0,1,0.0571493885
Stadel b. Niederglatt,8174,Stadel,ZH,1321,0,0,1,0.757002271
Stäfa,8712,Stäfa,ZH,10866,1,0.0920301859,1,0.0920301859
Staffelbach,5053,Staffelbach,AG,805,0,0,0,0
Stalden (Sarnen),6063,Sarnen,OW,1052,0,0,0,0
Stalden VS,3922,Stalden (VS),VS,1111,0,0,0,0
Staldenried,3933,Staldenried,VS,553,0,0,0,0
Stallikon,8143,Stallikon,ZH,3309,0,0,0,0
Stampa,7605,Bregaglia,GR,136,0,0,0,0
Stans,6370,Stans,NW,8175,0,0,0,0
Stansstad,6362,Stansstad,NW,3448,0,0,2,0.5800464037
Starrkirch-Wil,4656,Starrkirch-Wil,SO,1660,1,0.6024096386,2,1.204819277
Staufen,5603,Staufen,AG,2604,3,1.152073733,4,1.53609831
Ste-Croix,1450,Sainte-Croix,VD,3609,0,0,0,0
Stechelberg,3824,Lauterbrunnen,BE,196,0,0,0,0
Steckborn,8266,Steckborn,TG,3626,0,0,0,0
Steffisburg,3612,Steffisburg,BE,10787,32,2.966533791,57,5.284138315
Steffisburg,3613,Steffisburg,BE,4798,9,1.875781576,27,5.627344727
Steg im Tösstal,8496,Fischenthal,ZH,802,0,0,0,0
Steg VS,3940,Steg-Hohtenn,VS,1401,0,0,0,0
Stehrenberg,9503,Bussnang,TG,99,0,0,0,0
Stein AG,4332,Stein (AG),AG,3037,0,0,1,0.3292723082
Stein am Rhein,8260,Stein am Rhein,SH,3334,0,0,0,0
Stein AR,9063,Stein (AR),AR,1375,0,0,0,0
Stein SG,9655,Nesslau,SG,381,0,0,0,0
Steinach,9323,Steinach,SG,3486,0,0,1,0.2868617326
Steinebrunn,9314,Egnach,TG,610,0,0,0,0
Steinen,6422,Steinen,SZ,3302,0,0,0,0
Steinerberg,6416,Steinerberg,SZ,915,0,0,0,0
Steinhaus,3995,Ernen,VS,360,0,0,0,0
Steinhaus,3995,Ernen,VS,360,0,0,0,0
Steinhausen,6312,Steinhausen,ZG,9258,0,0,3,0.32404407
Steinhof SO,4556,Aeschi (SO),SO,977,2,2.047082907,5,5.117707267
Steinhuserberg,6114,Wolhusen,LU,275,0,0,0,0
Steinmaur,8162,Steinmaur,ZH,3105,0,0,2,0.6441223833
Stels,7226,Schiers,GR,98,0,0,0,0
Stels,7226,Schiers,GR,98,0,0,0,0
Sternenberg,8499,Bauma,ZH,346,0,0,0,0
Stetten AG,5608,Stetten (AG),AG,1958,0,0,0,0
Stetten SH,8234,Stetten (SH),SH,1292,0,0,0,0
Stettfurt,9507,Stettfurt,TG,1149,0,0,0,0
Stettlen,3066,Stettlen,BE,2931,62,21.15319004,54,18.42374616
Stierva,7459,Albula/Alvra,GR,111,0,0,0,0
Stilli,5233,Villigen,AG,445,0,0,0,0
Stoos SZ,6433,Morschach,SZ,184,0,0,0,0
Strada,7558,Valsot,GR,159,0,0,0,0
Strengelbach,4802,Strengelbach,AG,4670,3,0.6423982869,1,0.2141327623
Studen BE,2557,Studen (BE),BE,2958,7,2.366463827,11,3.718728871
Studen SZ,8845,Unteriberg,SZ,401,0,0,0,0
Stugl/Stuls,7482,Bergün/Bravuogn,GR,393,0,0,0,0
Stüsslingen,4655,Stüsslingen,SO,1034,0,0,1,0.9671179884
Suberg,3262,Grossaffoltern,BE,632,16,25.3164557,5,7.911392405
Subingen,4553,Subingen,SO,3027,14,4.625041295,9,2.973240833
Suchy,1433,Suchy,VD,483,0,0,0,0
Süderen,3618,Röthenbach im Emmental,BE,237,0,0,2,8.438818565
Suen (St-Martin),1969,Saint-Martin (VS),VS,418,0,0,0,0
Sufers,7434,Sufers,GR,127,0,0,0,0
Sugiez,1786,Mont-Vully,FR,1666,5,3.00120048,1,0.600240096
Sugnens,1043,Montilliez,VD,370,0,0,0,0
Suhr,5034,Suhr,AG,9753,1,0.1025325541,5,0.5126627704
Sulgen,8583,Sulgen,TG,3171,0,0,0,0
Sullens,1036,Sullens,VD,893,0,0,0,0
Sulz AG,5085,Laufenburg,AG,1024,0,0,0,0
Sulz LU,6284,Hitzkirch,LU,919,0,0,0,0
Sulzbach,8614,Uster,ZH,1162,0,0,0,0
Sumiswald,3454,Sumiswald,BE,2579,21,8.142690965,9,3.489724699
Summaprada,7421,Cazis,GR,410,0,0,0,0
Sumvitg,7175,Sumvitg,GR,324,0,0,0,0
Sundlauenen,3800,Beatenberg,BE,5659,27,4.771160983,24,4.241031984
Sünikon,8162,Steinmaur,ZH,3105,0,0,2,0.6441223833
Sur,7456,Surses,GR,78,0,0,0,0
Surava,7472,Albula/Alvra,GR,205,0,0,0,0
Surcasti,7115,Lumnezia,GR,71,0,0,0,0
Surcuolm,7138,Obersaxen-Mundaun,GR,136,0,0,0,0
Surin,7148,Lumnezia,GR,345,0,0,0,0
Surpierre,1528,Surpierre,FR,280,0,0,0,0
