GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
2.01412E+11,12/30/14,Yemen,Aden,Unknown,0,,,,,1,0,Military,,,Middle East & North Africa,Assassination,,,Firearms,,,
2.01412E+11,12/30/14,Pakistan,Quetta,Unknown,0,,,,,1,0,Private Citizens & Property,,,South Asia,Hostage Taking (Kidnapping),,,Firearms,,,
2.01412E+11,12/30/14,Pakistan,Bolan district,United Baloch Army (UBA),0,,,,,0,0,Transportation,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Pakistan,Loti,Baloch Republican Army (BRA),0,,,,,0,0,Utilities,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Syria,Aleppo,Shamiya Front,0,,,,,7,Unknown,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,Pakistan,Karachi,Unknown,0,,,,,0,0,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,Afghanistan,Alishing district,Taliban,0,,,,,2,1,Military,,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/29/14,Afghanistan,Shedai,Unknown,0,,,,,0,2,Police,,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/28/14,Afghanistan,Gelan district,Taliban,1,,,,,3,Unknown,Police,,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/29/14,Afghanistan,Unknown,Taliban,0,,,,,1,0,Private Citizens & Property,,,South Asia,Assassination,,,Unknown,,,
2.01412E+11,12/29/14,Afghanistan,Chakhansur district,Taliban,0,,,,,2,2,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,Nigeria,Chikwarkir,Boko Haram,0,,,,,7,0,Private Citizens & Property,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,India,Umrangso,Unknown,0,,,,,Unknown,Unknown,Business,,,South Asia,Hostage Taking (Kidnapping),,,Firearms,,,
2.01412E+11,12/29/14,Pakistan,Tangai,Unknown,0,,,,,0,0,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,Pakistan,Pir Sabak,Unknown,0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,Pakistan,Dargai,Unknown,0,,,,,1,1,Business,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,Afghanistan,Unknown,Taliban,0,,,,,1,0,Military,Military,,South Asia,Unknown,,,Unknown,,,
2.01412E+11,12/29/14,Afghanistan,Sangin district,Taliban,0,,,,,9,6,Police,,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/29/14,Iraq,Dhuluiya,Islamic State of Iraq and the Levant (ISIL),0,,,,,1,0,Terrorists/Non-state Militia,,,Middle East & North Africa,Assassination,,,Firearms,,,
2.01412E+11,12/29/14,Iraq,Fallujah district,Al-Naqshabandiya Army,0,Islamic State of Iraq and the Levant (ISIL),0,,,27,Unknown,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Unknown,,,Unknown,,,
2.01412E+11,12/28/14,India,Pega,Communist Party of India - Maoist (CPI-Maoist),0,,,,,0,0,Private Citizens & Property,,,South Asia,Hostage Taking (Kidnapping),,,Unknown,,,
2.01412E+11,12/29/14,Iraq,Tikrit district,Unknown,0,,,,,0,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,,
2.01412E+11,12/29/14,Iraq,Hadithah,Islamic State of Iraq and the Levant (ISIL),0,,,,,30,Unknown,Utilities,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
2.01412E+11,12/29/14,Iraq,Baghdad,Unknown,0,,,,,Unknown,Unknown,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,Pakistan,Mohmand district,Unknown,0,,,,,0,3,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,Iraq,Taji,Islamic State of Iraq and the Levant (ISIL),0,,,,,22,63,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,Iraq,Ishaqi,Unknown,0,,,,,4,13,Police,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,Yemen,Matab Adban,Al-Qaida in the Arabian Peninsula (AQAP),0,,,,,2,3,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/29/14,Somalia,Mogadishu,Unknown,0,,,,,1,0,Government (General),,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
2.01412E+11,12/29/14,Somalia,Jalalaqsi,Al-Shabaab,0,,,,,Unknown,Unknown,Military,Military,Private Citizens & Property,Sub-Saharan Africa,Unknown,,,Unknown,,,
2.01412E+11,12/29/14,Yemen,Qatn,Al-Qaida in the Arabian Peninsula (AQAP),0,,,,,0,3,Military,,,Middle East & North Africa,Assassination,,,Explosives/Bombs/Dynamite,Firearms,,
2.01412E+11,12/29/14,Yemen,Bayda,Al-Qaida in the Arabian Peninsula (AQAP),0,,,,,1,0,Government (General),,,Middle East & North Africa,Assassination,,,Firearms,,,
2.01412E+11,12/29/14,Syria,Furqlus,Islamic State of Iraq and the Levant (ISIL),0,Al-Nusrah Front,0,,,9,15,Military,Business,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/27/14,Pakistan,Asreli,Baloch Republican Army (BRA),0,,,,,9,18,Military,,,South Asia,Armed Assault,,,Explosives/Bombs/Dynamite,Firearms,,
2.01412E+11,12/28/14,Afghanistan,Qarabagh district,Taliban,0,,,,,0,1,Police,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Syria,Kobani,Islamic State of Iraq and the Levant (ISIL),0,,,,,4,Unknown,Terrorists/Non-state Militia,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Maywand district,Unknown,0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Unknown,Taliban,0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Alingar district,Unknown,0,,,,,2,2,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Dentash,Taliban,0,,,,,3,3,Police,,,South Asia,Unknown,,,Unknown,,,
