,d1,d2,area,population,density,lat,lon,B,K,L,shortname,x,y,Lp10T,Bp10T,Kp10T,logdensity
???? ???,????,???,919.76,104916.0,114.06888753587893,35.97329149999999,128.9385493,0.0,0.0,2.0,??,10,12,0.19062869343093522,0.0,0.0,2.057167206083209
???? ???,????,???,660.7,47723.0,72.23096715604663,36.657700399999996,128.4528808,0.0,0.0,1.0,??,9,9,0.20954256857280554,0.0,0.0,1.8587234300025057
???? ???,????,???,72.82,10398.0,142.7904421862126,37.4844171,130.90580020000002,0.0,0.0,0.0,??,13,6,0.0,0.0,0.0,2.1546991384996357
???? ???,????,???,989.06,53087.0,53.674195700968596,36.9930661,129.4004195,0.0,0.0,1.0,??,12,9,0.18837003409497619,0.0,0.0,1.729765545325366
???? ???,????,???,1175.89,59608.0,50.691816411399024,36.3526576,128.6970053,0.0,0.0,0.0,??,10,11,0.0,0.0,0.0,1.7049378533325743
???? ???,????,???,696.52,44733.0,64.22356859817378,35.6472706,128.7339107,0.0,0.0,1.0,??,8,13,0.22354861064538484,0.0,0.0,1.8076944335792235
???? ???,????,???,842.45,27067.0,32.12890972758027,36.4359045,129.05710770000002,0.0,0.0,0.0,??,11,11,0.0,0.0,0.0,1.5068959883174844
???? ???,????,???,451.0,120004.0,266.0842572062084,35.9953059,128.4015434,0.0,0.0,2.0,??,9,12,0.16666111129629013,0.0,0.0,2.425019180411125
???? ???,????,???,1127.0,513343.0,455.49511978704527,36.01901779999999,129.3434808,1.0,4.0,10.0,??,12,11,0.19480152646476137,0.01948015264647614,0.07792061058590456,2.658483728266403
????? ???,?????,???,222.88,348512.0,1563.67552045944,35.139463799999994,126.7937183,3.0,1.0,11.0,????,2,19,0.3156275824074924,0.08608024974749794,0.02869341658249931,3.1941466372825755
????? ??,?????,??,61.07,214640.0,3514.6553135745867,35.1221068,126.90795790000001,1.0,1.0,4.0,????,2,21,0.18635855385762204,0.04658963846440551,0.04658963846440551,3.545882739668017
????? ??,?????,??,48.86,108924.0,2229.3082275890297,35.1461042,126.92312279999999,1.0,0.0,4.0,????,3,20,0.36722852631192393,0.09180713157798098,0.0,3.348170118855611
????? ??,?????,??,121.74,472753.0,3883.300476425169,35.1740167,126.91198419999999,3.0,1.0,11.0,????,3,19,0.23267964455011392,0.06345808487730378,0.021152694959101267,3.5892009960584415
????? ??,?????,??,46.73,300999.0,6441.236892788359,35.1528248,126.89109769999999,2.0,2.0,9.0,????,2,20,0.2990043156289556,0.06644540347310124,0.06644540347310124,3.8089692717283232
????? ??,?????,??,17.44,172701.0,9902.580275229355,35.846022399999995,128.5975291,0.0,1.0,4.0,????,9,14,0.23161417710378054,0.0,0.057903544275945136,3.995748371697167
????? ???,?????,???,62.3,604938.0,9710.08025682183,35.8298561,128.5327576,2.0,3.0,11.0,????,8,15,0.18183681633489712,0.03306123933361766,0.04959185900042649,3.9872228195012913
????? ???,?????,???,427.03,178477.0,417.9495585790226,35.7746388,128.43171370000002,0.0,0.0,7.0,??,9,15,0.3922073992727354,0.0,0.0,2.6211238708835127
????? ??,?????,??,182.35,332787.0,1824.9904030710168,35.8866012,128.6353024,2.0,0.0,12.0,????,11,13,0.360591008663199,0.0600985014438665,0.0,3.261260585009338
????? ??,?????,??,95.5,457382.0,4789.340314136126,35.8857114,128.58280729999998,0.0,2.0,10.0,????,9,13,0.21863562623802424,0.0,0.043727125247604845,3.6802756976190016
????? ??,?????,??,17.5,227006.0,12971.771428571428,35.871768599999996,128.559115,0.0,1.0,6.0,????,8,14,0.2643101944441997,0.0,0.04405169907403328,4.112999287504426
????? ???,?????,???,76.49,457670.0,5983.396522421232,35.8582435,128.6306086,4.0,2.0,13.0,????,10,14,0.2840474577752529,0.0873992177770009,0.04369960888850045,3.776947784689486
????? ??,?????,??,7.08,78226.0,11048.870056497175,35.8693527,128.6061666,2.0,3.0,7.0,????,10,13,0.894843146779843,0.25566947050852656,0.3835042057627899,4.043317865955959
????? ???,?????,???,68.45,210114.0,3069.598246895544,36.3467189,127.4155717,0.0,0.0,7.0,????,5,12,0.3331524791303768,0.0,0.0,3.487081538156702
????? ??,?????,??,136.8,249367.0,1822.858187134503,36.3269986,127.43268259999999,1.0,0.0,9.0,????,5,13,0.3609138338272506,0.04010153709191673,0.0,3.2607528831691903
????? ??,?????,??,95.25,502949.0,5280.304461942257,36.3545224,127.3836025,3.0,3.0,16.0,????,4,14,0.3181237063797721,0.05964819494620727,0.05964819494620727,3.7226589646416386
????? ???,?????,???,177.16,270768.0,1528.3811244073154,36.362216,127.35613290000002,2.0,1.0,18.0,????,4,13,0.6647757489806772,0.07386397210896413,0.036931986054482065,3.1842316654882596
????? ??,?????,??,61.98,265467.0,4283.107454017425,36.3253046,127.4212387,1.0,2.0,7.0,????,5,14,0.26368625855567734,0.03766946550795391,0.07533893101590781,3.6317589700541544
????? ???,?????,???,179.05,63753.0,356.06255235967603,35.2122157,128.9805666,0.0,0.0,2.0,????,8,18,0.31371072733832134,0.0,0.0,2.55152630066459
????? ???,?????,???,65.19,254272.0,3900.4755330572175,35.2429921,129.0922773,0.0,3.0,5.0,????,10,15,0.19663981877674303,0.0,0.11798389126604582,3.591117557999063
????? ???,?????,???,217.9,90380.0,414.7774208352455,35.244549400000004,129.2221542,0.0,1.0,6.0,??,12,16,0.6638636866563399,0.0,0.11064394777605666,2.6178151067489273
????? ??,?????,??,25.91,301043.0,11618.795831725205,35.136559600000005,129.084364,2.0,0.0,5.0,????,11,19,0.16608922977780582,0.06643569191112234,0.0,4.065161120245707
????? ??,?????,??,9.77,102440.0,10485.158648925282,35.1390588,129.0569225,0.0,0.0,4.0,????,10,17,0.39047247169074584,0.0,0.0,4.020575006077619
