Date,D0,D1,Value
2006-01,M0,KRW100,0.1301
2006-01,M0,MYR100,34.0605
2006-01,M0,NZD1,0.8781
2006-01,M0,SGD100,78.2967
2006-01,M0,THB100,3.2271
2006-01,M0,XDR1,1.851235
2006-02,M0,EUR1,1.5578
2006-02,M0,GBP1,2.2785
2006-02,M0,DKK100,20.8675
2006-02,M0,NOK100,19.323
2006-02,M0,CZK100,5.4813
2006-02,M0,HUF100,0.6187
2006-02,M0,PLN100,41.0285
2006-02,M0,RUB100,4.6245
2006-02,M0,SEK100,16.6705
2006-02,M0,TRY100,98.212
2006-02,M0,USD1,1.3041
2006-02,M0,CAD1,1.1343
2006-02,M0,ARS100,42.437
2006-02,M0,BRL100,60.215
2006-02,M0,MXN100,12.428
2006-02,M0,ZAR1,0.2128
2006-02,M0,JPY100,1.106425
2006-02,M0,AUD1,0.966785
2006-02,M0,CNY100,16.21775
2006-02,M0,HKD100,16.80431
2006-02,M0,KRW100,0.1344
2006-02,M0,MYR100,34.9845
2006-02,M0,NZD1,0.8775
2006-02,M0,SGD100,80.0315
2006-02,M0,THB100,3.3097
2006-02,M0,XDR1,1.872959
2006-03,M0,EUR1,1.5688
2006-03,M0,GBP1,2.2753
2006-03,M0,DKK100,21.0243
2006-03,M0,NOK100,19.6648
2006-03,M0,CZK100,5.4752
2006-03,M0,HUF100,0.6012
2006-03,M0,PLN100,40.4161
2006-03,M0,RUB100,4.6809
2006-03,M0,SEK100,16.6926
2006-03,M0,TRY100,97.533478
2006-03,M0,USD1,1.3047
2006-03,M0,CAD1,1.1279
2006-03,M0,ARS100,42.3604
2006-03,M0,BRL100,60.6348
2006-03,M0,MXN100,12.1387
2006-03,M0,ZAR1,0.2085
2006-03,M0,JPY100,1.112243
2006-03,M0,AUD1,0.948461
2006-03,M0,CNY100,16.23973913
2006-03,M0,HKD100,16.812304
2006-03,M0,KRW100,0.1338
2006-03,M0,MYR100,35.2204
2006-03,M0,NZD1,0.8276
2006-03,M0,SGD100,80.4283
2006-03,M0,THB100,3.347
2006-03,M0,XDR1,1.879042
2006-04,M0,EUR1,1.5749
2006-04,M0,GBP1,2.2669
2006-04,M0,DKK100,21.1033
2006-04,M0,NOK100,20.0789
2006-04,M0,CZK100,5.5207
2006-04,M0,HUF100,0.5932
2006-04,M0,PLN100,40.1711
2006-04,M0,RUB100,4.6594
