,catégorie,rang,année,pays,temps net,Age,vitesse
298,Femmes II,---,1981,I,--------,34.0,
300,Femmes II,1046.,1985,CH,"31.04,5",30.0,14.15300370430021
301,Femmes II,1220.,1977,CH,"35.08,4",38.0,12.523657507695814
302,Hommes II,396.,1978,F,"30.59,5",37.0,14.361170125837557
303,Hommes III,1446.,1969,CH,"37.58,1",46.0,11.691546260078232
304,Hommes I,893.,1986,CH,"35.03,2",29.0,12.542247088376344
305,Femmes III,---,1966,CH,--------,49.0,
306,Hommes II,1673.,1977,CH,"38.21,4",38.0,11.497880357983986
307,Hommes III,368.,1972,I,"31.35,0",43.0,14.01531100478469
309,Hommes II,29.,1978,I,"27.12,3",37.0,16.199535449618406
310,Femmes II,265.,1980,F,"24.52,6",35.0,17.914865856641935
439,Hommes III,---,1971,CH,--------,44.0,
440,Femmes II,1100.,1978,CH,"31.54,2",37.0,13.929998097774396
442,Hommes II,935.,1977,F,"33.57,3",38.0,13.08730229648825
443,Hommes I,---,1987,CH,--------,28.0,
444,Femmes II,56.,1984,CH,"22.13,5",31.0,19.850011294330244
445,Hommes II,---,1980,CH,--------,35.0,
446,Hommes II,---,1978,F,--------,37.0,
447,Hommes III,---,1968,CH,--------,47.0,
448,Hommes II,1672.,1983,CH,"38.20,7",32.0,11.499986913392835
449,Hommes III,1638.,1970,CH,"39.41,6",45.0,11.147249847777555
527,Hommes III,---,1974,CH,--------,41.0,
529,Hommes III,---,1968,CH,--------,47.0,
532,Hommes III,---,1972,CH,--------,43.0,
534,Femmes II,1233.,1984,CH,"36.04,7",31.0,12.189086470441369
537,Femmes III,54.,1970,CH,"21.54,6",45.0,20.392648287385132
538,Femmes III,755.,1975,F,"28.47,1",40.0,15.432545397070704
539,Hommes III,---,1971,CH,--------,44.0,
540,Hommes III,1799.,1973,CH,"41.33,0",42.0,10.631018630534722
541,Femmes I,708.,1992,CH,"27.24,4",23.0,16.12758772573778
543,Hommes III,---,1975,CH,--------,40.0,
546,Femmes III,517.,1970,CH,"26.56,6",45.0,16.539185424979298
548,Hommes IV,908.,1963,CH,"41.59,1",52.0,10.564304777475897
549,Hommes I,1317.,1992,CH,"41.57,2",23.0,10.569133070335804
550,Hommes I,---,1994,CH,--------,21.0,
551,Hommes IV,426.,1965,CH,"35.40,8",50.0,12.409060099412562
554,Femmes III,---,1967,CH,--------,48.0,
556,Femmes III,---,1971,CH,--------,44.0,
557,Femmes I,1251.,1987,CH,"35.16,8",28.0,12.49374431301183
558,Hommes I,542.,1987,CH,"32.28,7",28.0,13.608573109920403
561,Escaladelite Hommes,209.,1962,CH,"27.07,1",53.0,16.230652728011528
566,Hommes II,1139.,1985,CH,"35.01,7",30.0,12.5476197275609
567,Femmes IV,445.,1964,CH,"30.56,9",51.0,14.373384801596389
570,Femmes IV,281.,1962,CH,"27.36,4",53.0,16.056863031720507
571,Hommes II,161.,1979,CH,"29.17,9",36.0,15.058089722060389
574,Femmes III,---,1973,F,--------,42.0,
576,Hommes IV,872.,1964,F,"41.15,1",51.0,10.677261791937012
578,Hommes I,338.,1989,F,"30.57,3",26.0,14.371504268472181
579,Hommes II,1542.,1982,F,"37.19,3",33.0,11.813513295512598
580,Femmes III,690.,1967,CH,"28.12,4",48.0,15.622955482861615
581,Hommes IV,707.,1962,CH,"38.54,8",53.0,11.398256718895922
582,Hommes I,628.,1987,F,"33.03,2",28.0,13.301646887866314
583,Hommes IV,889.,1956,F,"41.35,3",59.0,10.625105796435568
584,Escaladelite Hommes,---,1981,F,--------,34.0,
585,Hommes IV,711.,1958,CH,"39.00,4",57.0,11.264998461696237
586,Hommes III,1644.,1968,CH,"39.46,4",47.0,11.133691465639572
587,Hommes III,978.,1971,F,"34.55,2",44.0,12.716485297522576
588,Hommes IV,359.,1964,CH,"35.00,6",51.0,12.55156258927041
589,Hommes I,1315.,1989,F,"41.44,9",26.0,10.600496996308717
590,Hommes II,1603.,1977,CH,"37.45,0",38.0,11.732443257676902
591,Hommes II,---,1984,F,--------,31.0,
592,Femmes I,---,1990,CH,--------,25.0,
593,Hommes III,1166.,1970,CH,"36.00,7",45.0,12.202627266920322
595,Hommes V,293.,1953,CH,"45.06,5",62.0,9.74991678686342
597,Hommes II,916.,1983,CH,"33.51,3",32.0,13.1107331483305
598,Hommes III,1154.,1967,CH,"35.56,1",48.0,12.355670537948878
602,Hommes III,1595.,1967,CH,"39.16,7",48.0,11.218117292618786
605,Hommes II,770.,1982,CH,"33.03,7",33.0,13.29963374398402
606,Femmes III,1118.,1971,CH,"34.45,7",44.0,12.7515454044171
608,Hommes III,1318.,1970,CH,"36.55,1",45.0,12.02101173702498
610,Femmes II,949.,1984,CH,"29.57,9",31.0,14.85445755434599
612,Hommes II,499.,1980,CH,"31.36,0",35.0,14.010841836734695
613,Hommes I,64.,1986,F,"28.10,6",29.0,15.632960933608482
614,Hommes III,792.,1966,CH,"34.03,0",49.0,12.911548633558626
616,Hommes III,1203.,1975,CH,"36.13,7",40.0,12.158729280239092
617,Femmes II,39.,1979,CH,"21.54,7",36.0,20.39170186104794
