,1ère boucle,2ème boucle,3ème boucle,nom,temps net
173,"      8.37,9 ","     9.08,9 ","     8.50,6 ",Dard Philippe,"    26.29,3 "
174,"      8.44,1 ","     9.06,8 ","     8.47,3 ",Maestre Juan,"    26.25,0 "
175,"      8.19,5 ","     9.21,4 ","     8.58,3 ",Pelouze Alexandre J.,"    26.30,1 "
176,"      8.41,5 ","     9.13,4 ","     8.44,6 ",Kähr Jérémy,"    26.27,8 "
177,"      8.34,3 ","     9.16,0 ","     8.49,6 ",Bonneville Romain,"    26.30,7 "
178,"      8.53,2 ","     9.09,4 ","     8.39,4 ",Benavent Roberto,"    26.27,2 "
179,"      8.36,8 ","     9.14,6 ","     8.51,7 ",Rottigni Robert,"    26.33,3 "
180,"      8.40,7 ","     9.13,2 ","     8.52,5 ",Simoncini Matteo,"    26.33,7 "
181,"      8.37,0 ","     9.16,4 ","     8.53,2 ",Gattone Sylvain,"    26.34,4 "
182,"      8.33,8 ","     9.19,2 ","     8.54,8 ",Clavel Olivier,"    26.37,6 "
183,"      8.35,1 ","     9.15,6 ","     8.57,9 ",Ernst Ekkehard,"    26.36,7 "
184,"      8.41,7 ","     9.18,2 ","     8.52,5 ",Hafid Khaled,"    26.43,3 "
185,"      8.46,5 ","     9.13,7 ","     8.52,3 ",Seigneur David,"    26.42,7 "
186,"      8.43,8 ","     9.14,8 ","     8.54,4 ",Gumowski Michael,"    26.39,1 "
187,"      8.36,4 ","     9.15,2 ","     9.02,2 ",Duplant Thierry,"    26.42,4 "
188,"      8.36,3 ","     9.18,0 ","     9.00,3 ",Duprez Alexandre,"    26.44,1 "
189,"      8.50,0 ","     9.15,3 ","     8.55,6 ",Dall'Osso Martino,"    26.50,6 "
190,"      8.36,3 ","     9.24,1 ","     9.01,8 ",Michaud Benoit,"    26.51,7 "
191,"      8.42,6 ","     9.23,1 ","     8.57,4 ",Mcconville Ian,"    26.50,9 "
192,"      8.31,1 ","     9.24,9 ","     9.07,6 ",Unternaehrer Olivier,"    26.54,6 "
193,"      8.42,4 ","     9.28,3 ","     8.53,3 ",Rodriguez Ugo,"    26.52,6 "
194,"      8.54,7 ","     9.23,3 ","     8.49,2 ",Monnerat Christophe,"    26.57,9 "
195,"      9.21,6 ","     9.50,3 ","     7.55,7 ",Bago Joseph,"    26.56,5 "
196,"      8.36,4 ","     9.26,7 ","     9.05,4 ",Pagliuca Mauro,"    26.56,8 "
197,"      8.33,8 ","     9.35,0 ","     9.00,2 ",Carrat Sébastien,"    26.57,5 "
198,"      8.45,8 ","     9.20,6 ","     9.03,0 ",Bouillot Thomas,"    26.55,0 "
199,"      8.45,5 ","     9.20,3 ","     9.03,9 ",Urio Loïc,"    26.56,3 "
200,"      8.35,0 ","     9.29,4 ","     9.05,4 ",Bourriez David,"    26.59,3 "
201,"      8.53,4 ","     9.24,4 ","     8.53,1 ",Dervaux Nicolas,"    27.02,0 "
202,"      9.03,6 ","     9.14,5 ","     8.55,9 ",Bringard Aurélien,"    27.04,0 "
203,"      9.05,1 ","     9.23,5 ","     8.46,6 ",Theubet Philippe,"    27.05,8 "
204,"      8.41,9 ","     9.28,0 ","     9.05,7 ",Bartolini Alain,"    27.07,9 "
205,"      8.52,2 ","     9.24,7 ","     8.59,2 ",Fluri Patrick,"    27.05,2 "
206,"      8.47,6 ","     9.21,5 ","     9.07,2 ",Boillon Bénédict,"    27.05,4 "
207,"      8.46,9 ","     9.34,3 ","     8.55,9 ",Barnhoorn Jacobus,"    27.06,1 "
208,"      8.43,1 ","     9.29,8 ","     9.05,9 ",Murphy Paul,"    27.07,1 "
209,"      8.51,7 ","     9.24,9 ","     9.02,5 ",Sievert Tobias,"    27.05,7 "
210,"      8.29,5 ","     9.19,8 ","     9.30,8 ",Occhilupo Sandro,"    27.10,8 "
211,"      8.53,9 ","     9.23,0 ","     9.03,4 ",Doll Christian,"    27.05,7 "
212,"      9.04,9 ","     9.27,8 ","     8.49,9 ",Buschino Romain,"    27.12,8 "
213,"      9.04,8 ","     9.24,5 ","     8.53,4 ",Perez Raul,"    27.10,8 "
214,"      8.31,2 ","     9.42,1 ","     9.09,9 ",Hug Sébastien,"    27.14,4 "
215,"      8.59,9 ","     9.26,8 ","     8.56,8 ",Queralto Raphaël,"    27.11,9 "
