"Strassenfahrzeugbestand: Personenwagen ab 1990"

"Kanton";"Treibstoff";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Graubünden / Grigioni / Grischun";"Andere";3;2;1;2;2;1;1;1;1;1;1;3;3;17;13;95;71;126;298;315;339;365;461;536;612;731
"Aargau";"Benzin";222536;228303;230675;233549;238763;243349;248272;252742;258362;264830;270404;275249;278981;281962;283072;282400;282267;281688;280421;276680;280028;280986;280118;278203;275840;273542
"Aargau";"Diesel";5206;5251;5286;5453;5826;6176;6484;6858;7448;8453;9823;12104;15174;18882;23398;28692;33531;39049;45045;50474;56916;64085;73240;82074;90082;98193
"Aargau";"Elektrisch";23;55;65;63;53;59;45;33;35;24;27;28;25;20;15;11;11;9;9;9;19;47;104;167;328;583
"Aargau";"Andere";26;24;17;16;10;6;7;6;9;6;7;18;32;52;86;267;489;985;1599;1988;2461;2999;3637;4327;4973;5760
"Thurgau";"Benzin";88780;91385;93280;94975;98323;100604;102374;103567;104936;107790;110249;112585;114297;115423;115650;114999;116499;116017;118630;123615;119145;120463;121003;120083;120407;120331
"Thurgau";"Diesel";2084;2161;2281;2335;2539;2679;2830;2999;3192;3587;4130;5024;6253;7801;9504;11202;13238;15189;17754;20866;22505;25401;29479;33591;37131;41036
"Thurgau";"Elektrisch";8;16;25;25;30;35;30;29;22;20;16;13;9;9;9;9;9;7;8;8;7;12;48;94;155;271
"Thurgau";"Andere";2;3;3;3;9;6;7;6;6;5;6;7;8;12;46;167;152;346;650;824;959;1180;1389;1639;1835;2040
"Ticino";"Benzin";140880;145013;149748;152908;156787;160557;163195;165517;168326;171215;172937;174017;173074;170315;168605;166679;164226;163649;161947;161233;160103;160254;159276;157459;156456;154786
"Ticino";"Diesel";8196;7921;7496;7190;7041;6980;6928;7009;7359;8109;9557;11826;14869;17936;22353;26203;30754;34514;37248;39917;43041;46228;50343;54951;59268;63519
"Ticino";"Elektrisch";5;14;16;11;16;23;40;57;63;69;129;133;164;173;167;162;146;133;123;122;112;120;141;166;247;366
"Ticino";"Andere";1;1;0;0;1;1;1;1;1;1;1;3;2;4;5;330;347;417;804;796;1206;1539;1937;2530;2868;3572
"Vaud";"Benzin";266460;273288;275401;275190;279678;284519;289052;294083;299964;309055;315500;319953;320868;321399;321276;316451;306911;302602;298554;288766;290321;290234;289549;287481;286531;286081
