Name,book,aggressions,paragraphs,mentions,agg.per.mention,mentions.per.p,agg.weighted
Barty Crouch Jr.,The Goblet of Fire,12,6803,24,0.5,0.00352785535793033,3401.5
Barty Crouch Sr.,The Goblet of Fire,4,6803,24,0.166666666666667,0.00352785535793033,1133.83333333333
Basilisk,The Chamber of Secrets,12,3373,24,0.5,0.00711532760154165,1686.5
Bellatrix Lestrange,The Deathly Hallows,12,6861,90,0.133333333333333,0.0131176213379974,914.8
Bellatrix Lestrange,The Half-Blood Prince,2,6654,11,0.18181818181818202,0.00165314096783889,1209.8181818181802
Bellatrix Lestrange,The Order of the Phoenix,15,9275,53,0.283018867924528,0.00571428571428571,2625.0
Bob Ogden,The Half-Blood Prince,1,6654,58,0.0172413793103448,0.0087165614667869,114.724137931034
Boggart,The Order of the Phoenix,7,9275,11,0.6363636363636359,0.00118598382749326,5902.27272727273
Boggart,The Prisoner of Azkaban,13,4092,35,0.37142857142857105,0.008553274682306941,1519.8857142857098
Buckbeak,The Prisoner of Azkaban,1,4092,82,0.0121951219512195,0.020039100684262002,49.902439024390205
Cedric Diggory,The Goblet of Fire,3,6803,304,0.00986842105263158,0.0446861678671174,67.1348684210526
Cedric Diggory,The Order of the Phoenix,0,9275,35,0.0,0.0037735849056603796,0.0
Centaurs,The Order of the Phoenix,0,9275,36,0.0,0.0038814016172506703,0.0
Cho Chang,The Chamber of Secrets,0,3373,146,0.0,0.0432849095760451,0.0
Cho Chang,The Deathly Hallows,0,6861,182,0.0,0.0265267453723947,0.0
Cho Chang,The Goblet of Fire,0,6803,236,0.0,0.0346905776863149,0.0
Cho Chang,The Half-Blood Prince,0,6654,228,0.0,0.0342651036970243,0.0
Cho Chang,The Order of the Phoenix,2,9275,379,0.005277044854881271,0.0408625336927224,48.944591029023705
Cho Chang,The Prisoner of Azkaban,0,4092,141,0.0,0.0344574780058651,0.0
Cho Chang,The Sorcerer's Stone,0,3015,110,0.0,0.0364842454394693,0.0
Colin Creevey,The Chamber of Secrets,0,3373,42,0.0,0.0124518233026979,0.0
Colin Creevey,The Goblet of Fire,0,6803,25,0.0,0.00367484933117742,0.0
Dean Thomas,The Chamber of Secrets,0,3373,15,0.0,0.00444707975096353,0.0
Dean Thomas,The Deathly Hallows,1,6861,40,0.025,0.00583005392799883,171.525
Dean Thomas,The Goblet of Fire,0,6803,24,0.0,0.00352785535793033,0.0
Dean Thomas,The Half-Blood Prince,0,6654,47,0.0,0.007063420498948001,0.0
Dean Thomas,The Order of the Phoenix,0,9275,50,0.0,0.005390835579514829,0.0
Dean Thomas,The Prisoner of Azkaban,1,4092,17,0.0588235294117647,0.0041544477028348,240.70588235294102
Dementors,The Deathly Hallows,4,6861,43,0.0930232558139535,0.00626730797259875,638.232558139535
Dementors,The Goblet of Fire,3,6803,37,0.0810810810810811,0.00543877701014258,551.594594594595
Dementors,The Half-Blood Prince,0,6654,16,0.0,0.00240456868049294,0.0
Dementors,The Order of the Phoenix,0,9275,88,0.0,0.00948787061994609,0.0
Dementors,The Prisoner of Azkaban,6,4092,129,0.0465116279069767,0.031524926686217,190.32558139534902
Dobby,The Chamber of Secrets,3,3373,106,0.0283018867924528,0.0314260302401423,95.46226415094341
Dobby,The Deathly Hallows,2,6861,40,0.05,0.00583005392799883,343.05
Dobby,The Goblet of Fire,0,6803,114,0.0,0.016757312950169,0.0
Dobby,The Half-Blood Prince,1,6654,23,0.0434782608695652,0.0034565674782086,289.304347826087
Dobby,The Order of the Phoenix,0,9275,46,0.0,0.0049595687331536395,0.0
Dolores Umbridge,The Deathly Hallows,0,6861,42,0.0,0.006121556624398779,0.0
Dolores Umbridge,The Half-Blood Prince,0,6654,12,0.0,0.0018034265103697,0.0
Dolores Umbridge,The Order of the Phoenix,17,9275,537,0.031657355679702,0.0578975741239892,293.62197392923696
Draco Malfoy,The Chamber of Secrets,3,3373,32,0.09375,0.009487103468722209,316.21875
Draco Malfoy,The Deathly Hallows,4,6861,53,0.0754716981132075,0.007724821454598459,517.811320754717
Draco Malfoy,The Goblet of Fire,2,6803,22,0.0909090909090909,0.00323386741143613,618.4545454545449
Draco Malfoy,The Half-Blood Prince,10,6654,54,0.185185185185185,0.00811541929666366,1232.22222222222
Draco Malfoy,The Order of the Phoenix,1,9275,26,0.0384615384615385,0.0028032345013477102,356.73076923076894
