,1ère boucle,2ème boucle,3ème boucle,nom,temps net
189,"     8.22,9 ","     9.58,6 ","     9.24,8 ",Manera Pietro,"     27.40,3 "
190,"     8.53,8 ","     9.32,1 ","     9.21,0 ",Indermühle Philippe,"     27.37,0 "
191,"     9.00,1 ","     9.27,7 ","     9.19,4 ",Aebischer Patrick,"     27.36,1 "
192,"     9.15,3 ","     9.25,6 ","     9.06,3 ",Duport Pascal,"     27.36,2 "
193,"     8.54,4 ","     9.34,1 ","     9.19,3 ",Minder Philippe,"     27.39,0 "
194,"     9.01,2 ","     9.30,2 ","     9.17,7 ",Dixmerias Olivier,"     27.42,5 "
195,"     9.18,4 ","     9.36,2 ","     8.54,8 ",Le Gall Eric,"     27.38,6 "
196,"     8.54,1 ","     9.45,9 ","     9.10,7 ",Aspinall Luke,"     27.41,4 "
197,"     8.52,7 ","     9.38,6 ","     9.19,5 ",Geinoz Nicolas,"     27.44,1 "
198,"     8.56,0 ","     9.53,1 ","     9.02,3 ",Hellebuyck Sébastien,"     27.41,4 "
199,"     8.52,6 ","     9.39,3 ","     9.20,2 ",Payot Thomas,"     27.44,8 "
200,"     9.13,5 ","     9.35,6 ","     9.03,5 ",Bossonney Denis,"     27.40,0 "
201,"     9.01,9 ","     9.35,4 ","     9.15,5 ",Unternaehrer Olivier,"     27.43,9 "
202,"     9.05,8 ","     9.31,5 ","     9.16,0 ",Coignee Jean-Roch,"     27.42,1 "
203,"     8.57,2 ","     9.30,5 ","     9.26,1 ",Rieder Marcel,"     27.45,2 "
204,"     8.47,4 ","     9.43,6 ","     9.23,8 ",Luyet Yves,"     27.48,2 "
205,"     8.47,9 ","     9.40,7 ","     9.26,4 ",Mercier Philippe,"     27.48,2 "
206,"     9.17,0 ","     9.39,4 ","     8.59,0 ",Birlouez Dimitri,"     27.47,1 "
207,"     8.54,2 ","     9.37,3 ","     9.23,9 ",Lally Duncan,"     27.48,5 "
208,"     8.43,1 ","     9.41,0 ","     9.31,4 ",Kuepfer Thomas,"     27.47,6 "
209,"     9.12,2 ","     9.32,4 ","     9.11,5 ",Lüscher Patrick,"     27.44,4 "
210,"     9.13,0 ","     9.28,8 ","     9.14,3 ",Tireford Sylvain,"     27.47,5 "
211,"     9.03,1 ","     9.33,9 ","     9.19,5 ",Hairer Daniel,"     27.47,4 "
212,"     9.28,6 ","     9.36,6 ","     8.51,4 ",Ladner Thomas,"     27.46,3 "
213,"     9.05,1 ","     9.38,8 ","     9.15,2 ",Blakley Matthew,"     27.48,8 "
214,"     8.49,0 ","     9.40,9 ","     9.29,7 ",Adatte Michel,"     27.53,2 "
215,"     9.05,4 ","     9.44,9 ","     9.10,3 ",Knapitsch Arno,"     27.53,7 "
216,"     8.54,8 ","     9.33,4 ","     9.33,7 ",Blattner André,"     27.55,3 "
217,"     8.45,9 ","     9.50,6 ","     9.26,2 ",Andrey Julien,"     27.57,7 "
218,"     8.55,0 ","     9.40,6 ","     9.28,2 ",Temporin Paolo,"     27.56,1 "
219,"     8.41,5 ","     9.42,4 ","     9.40,1 ",Perren Patrick,"     27.59,3 "
220,"     9.04,4 ","     9.37,6 ","     9.22,2 ",Moeglin Pierre-Etienne,"     27.55,5 "
221,"     9.06,7 ","     9.40,1 ","     9.18,1 ",Bourlon Olivier,"     27.58,6 "
222,"     9.12,4 ","     9.41,7 ","     9.11,5 ",Zbinden Nicolas,"     27.53,7 "
223,"     8.37,6 ","     9.43,7 ","     9.44,4 ",Lorenzi Luca,"     28.00,8 "
