,nom,temps net
486,Lienhard Cedric,"30.49,4"
487,Amato Domenico,"30.53,0"
488,Pilet Francois,"30.59,1"
489,Perritaz Joel,"30.59,3"
490,Bron Cedric,"30.59,4"
491,Verges Pierre,"30.56,7"
492,Dos Anjos Bruno,"31.04,1"
493,Monney Martiac,"31.07,1"
494,Vez Jean-Daniel,"30.59,5"
495,Moschberger Kevin,"31.15,4"
496,Eremia Radu,"31.13,7"
497,Sommer Nicolas,"31.18,5"
498,Chenaux Pascal,"31.21,2"
499,Chapuis Benjamin,"31.25,7"
500,Dreher Don,"31.33,7"
501,Giauque Cedric,"31.33,3"
502,Baichi Mehdi,"31.41,2"
503,Havart Frederic,"31.42,6"
504,Berset Yvan,"32.01,1"
505,Baude Pierre,"32.18,9"
506,Thevenoz Olivier,"32.15,5"
507,Sefaranga Gerard,"32.13,3"
508,Noret Olivier,"32.08,8"
509,Macedo Silva Alfredo,"32.31,3"
510,Bifrare Frederic,"32.42,4"
511,Besse Christian,"32.44,6"
512,Delouche Bruno,"32.50,2"
513,Gakumba Jules,"32.55,1"
514,Schumacher Stefan,"33.02,4"
515,Chabbey Adrien,"33.05,4"
516,Kamanzi Jean Claude,"33.19,2"
517,Rychen Stephane,"33.27,2"
518,Shelton David,"33.21,9"
519,Barnett Brett,"33.30,3"
520,Dumont Patrick,"33.38,3"
521,Kloug Cyril,"34.35,2"
522,Ruedin Philippe,"34.55,5"
523,Wenger Bernhard,"35.11,7"
524,Hendrix Maarten F. J.,"46.13,8"
525,Hendrix Maarten F. J.,
