P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
Kepler-1015 b,Neptunian,non-habitable,8.87,3.55,0.2,0.7,1.58,1065.8,1065.8,1065.8,1.8,16,0.1419,0.14,Kepler-1015,Cygnus,F,1.49,1.81,6769,6.17085,1.58,932,1,0,1.758,4.067,0.19,0,0
Kepler-1016 b,Superterran,non-habitable,14.46,2.17,1.41,3.06,2.58,1470,1470,1470,20.4,1.95,0.0305,0.03,Kepler-1016,Cygnus,G,0.99,1,5821,1.030102,3.89,1239,2,0,0.76,1.788,0.25,0,0
Kepler-1016 c,Neptunian,non-habitable,9.85,3.67,0.2,0.73,1.64,388.8,388.8,388.8,2,105.66,0.4358,0.44,Kepler-1016,Cygnus,G,0.99,1,5821,1.030102,3.89,1239,2,0,0.76,1.788,0.37,0,0
Kepler-1017 b,Superterran,non-habitable,10.17,1.99,1.28,2.56,2.26,842.2,842.2,842.2,13.1,7.23,0.0714,0.07,Kepler-1017,Lyra,G,0.93,0.87,5473,0.609299,2.95,554,1,0,0.596,1.418,0.27,0,0
Kepler-1018 b,Neptunian,non-habitable,3.24,2.58,0.19,0.49,1.12,452.7,452.7,452.7,0.6,49.1,0.2542,0.25,Kepler-1018,Lyra,G,0.91,0.88,5518,0.644142,4.47,894,1,0,0.612,1.452,0.34,0,0
Kepler-1019 b,Terran,non-habitable,3.14,1.46,1.02,1.48,1.47,1082.2,1082.2,1082.2,3.2,1.41,0.0219,0.02,Kepler-1019,Lyra,K,0.7,0.67,4433,0.155536,3.55,198,1,0,0.316,0.783,0.29,0,0
Kepler-1020 b,Superterran,non-habitable,17.55,2.27,1.49,3.39,2.78,328.4,328.4,328.4,26.2,96.92,0.3941,0.39,Kepler-1020,Cygnus,K,0.87,0.8,5227,0.428627,3.63,446,1,0,0.507,1.215,0.57,0,0
Kepler-1021 b,Superterran,non-habitable,19.52,2.33,1.54,3.6,2.89,680.3,680.3,680.3,30.1,13.47,0.1066,0.11,Kepler-1021,Cygnus,G,0.89,0.86,5431,0.577306,4.68,837,1,0,0.582,1.385,0.26,0,0
Kepler-1022 b,Superterran,non-habitable,20.8,2.36,1.58,3.72,2.97,550.1,550.1,550.1,32.8,10.99,0.0863,0.09,Kepler-1022,Cygnus,K,0.71,0.68,4445,0.161955,3.63,455,1,0,0.322,0.799,0.29,0,0
Kepler-1023 b,Neptunian,non-habitable,3.47,2.63,0.19,0.5,1.15,417.5,417.5,417.5,0.7,62.14,0.2996,0.3,Kepler-1023,Cygnus,G,0.93,0.89,5494,0.647477,4.47,686,1,0,0.614,1.459,0.38,0,0
Kepler-1024 b,Neptunian,non-habitable,11.88,3.91,0.2,0.78,1.74,366.2,366.2,366.2,2.4,66.42,0.2991,0.3,Kepler-1024,Lyra,K,0.81,0.78,5143,0.381896,5.25,1017,1,0,0.481,1.156,0.39,0,0
Kepler-1025 b,Superterran,non-habitable,9.95,1.98,1.28,2.53,2.24,601.8,601.8,601.8,12.7,37.32,0.2249,0.22,Kepler-1025,Lyra,F,1.09,1.13,6089,1.574819,3.31,716,1,0,0.924,2.161,0.3,0,0
Kepler-1026 b,Superterran,non-habitable,15.43,2.21,1.44,3.17,2.64,423.5,423.5,423.5,22.2,36.52,0.1991,0.2,Kepler-1026,Lyra,K,0.79,0.75,4948,0.302504,4.57,389,1,0,0.432,1.046,0.4,0,0
Kepler-1027 b,Terran,non-habitable,0.58,0.88,0.84,0.74,0.81,1270.9,1270.9,1270.9,0.5,1.91,0.0292,0.03,Kepler-1027,Lyra,G,0.91,0.82,5436,0.526787,1.41,291,1,0,0.556,1.322,0.29,0,0
Kepler-1028 b,Terran,non-habitable,2.3,1.33,0.97,1.29,1.31,1215.1,1215.1,1215.1,2.2,2.51,0.0349,0.03,Kepler-1028,Cygnus,G,0.9,0.87,5522,0.631414,4.68,633,1,0,0.605,1.437,0.29,0,0
Kepler-1029 b,Terran,non-habitable,1.86,1.25,0.94,1.18,1.22,876.4,876.4,876.4,1.8,4.42,0.0493,0.05,Kepler-1029,Cygnus,K,0.82,0.77,5030,0.34052,4.07,422,1,0,0.456,1.102,0.3,0,0
Kepler-1030 b,Superterran,non-habitable,25.7,2.48,1.69,4.19,3.22,529.6,529.6,529.6,43.6,19.33,0.1308,0.13,Kepler-1030,Cygnus,K,0.8,0.76,4983,0.319507,4.37,795,1,0,0.443,1.072,0.3,0,0
Kepler-1031 b,Terran,non-habitable,0.56,0.87,0.84,0.73,0.8,1846.8,1846.8,1846.8,0.5,1.23,0.0231,0.02,Kepler-1031,Cygnus,F,1.09,1.12,6011,1.469308,3.39,741,1,0,0.897,2.101,0.29,0,0
Kepler-1032 b,Superterran,non-habitable,7.92,1.87,1.21,2.26,2.06,866.8,866.8,866.8,9.6,3.29,0.0397,0.04,Kepler-1032,Lyra,K,0.77,0.71,4647,0.21091,1.86,607,1,0,0.365,0.896,0.27,0,0
Kepler-1033 b,Superterran,non-habitable,2.97,2.51,0.19,0.47,1.09,863.4,863.4,863.4,0.6,7.56,0.0738,0.07,Kepler-1033,Lyra,G,0.94,0.92,5547,0.718949,5.01,1425,1,0,0.645,1.53,0.24,0,0
Kepler-1034 b,Superterran,non-habitable,17.18,2.26,1.48,3.36,2.76,658.1,658.1,658.1,25.5,12.12,0.097,0.1,Kepler-1034,Lyra,K,0.83,0.8,5198,0.419194,4.79,706,1,0,0.502,1.205,0.27,0,0
Kepler-1035 b,Terran,non-habitable,1.45,1.16,0.92,1.07,1.11,1287,1287,1287,1.3,2.71,0.0378,0.04,Kepler-1035,Lyra,G,0.98,0.97,5763,0.931167,4.47,408,1,0,0.725,1.708,0.29,0,0
Kepler-1036 b,Neptunian,non-habitable,5.34,3.01,0.2,0.59,1.33,333.8,333.8,333.8,1,122.88,0.4754,0.48,Kepler-1036,Cygnus,G,0.95,0.89,5533,0.666059,3.24,507,1,0,0.621,1.474,0.5,0,0
Kepler-1037 b,Terran,non-habitable,1.98,1.28,0.95,1.21,1.25,1439,1439,1439,1.9,1.06,0.0191,0.02,Kepler-1037,Cygnus,K,0.82,0.78,5105,0.370734,5.13,451,1,0,0.474,1.142,0.29,0,0
Kepler-1038 b,Neptunian,non-habitable,8.7,3.53,0.2,0.7,1.57,296.1,296.1,296.1,1.7,148.46,0.5237,0.52,Kepler-1038,Cygnus,G,0.87,0.83,5335,0.500707,4.27,622,1,0,0.545,1.301,0.55,0,0
Kepler-1039 b,Terran,non-habitable,3.14,1.46,1.02,1.48,1.47,1404.6,1404.6,1404.6,3.2,0.93,0.0173,0.02,Kepler-1039,Cygnus,K,0.79,0.74,4870,0.276356,4.37,324,1,0,0.414,1.007,0.28,0,0
Kepler-1040 b,Superterran,non-habitable,12.15,2.08,1.34,2.8,2.41,301.2,301.2,301.2,16.3,201.12,0.6672,0.67,Kepler-1040,Draco,G,0.98,0.96,5694,0.869165,4.17,473,1,0,0.703,1.66,0.66,0,0
Kepler-1041 b,Neptunian,non-habitable,4.92,2.93,0.19,0.57,1.29,663.1,663.1,663.1,1,24.76,0.1695,0.17,Kepler-1041,Cygnus,G,1.06,1.08,5957,1.317795,3.55,979,1,0,0.852,1.999,0.24,0,0
Kepler-1042 b,Superterran,non-habitable,14.78,2.18,1.42,3.1,2.6,624.4,624.4,624.4,21,10.13,0.0832,0.08,Kepler-1042,Lyra,K,0.75,0.72,4815,0.25,4.79,659,1,0,0.395,0.962,0.28,0,0
Kepler-1043 b,Superterran,non-habitable,3.1,2.54,0.19,0.48,1.11,505.5,505.5,505.5,0.6,38.51,0.217,0.22,Kepler-1043,Lyra,G,0.92,0.9,5629,0.729625,4.47,838,1,0,0.647,1.53,0.31,0,0
Kepler-1044 b,Neptunian,non-habitable,3.62,2.67,0.19,0.51,1.16,1037.1,1037.1,1037.1,0.7,6.77,0.0719,0.07,Kepler-1044,Cygnus,G,1.08,1.11,5985,1.418379,3.55,1507,1,0,0.883,2.069,0.23,0,0
Kepler-1045 b,Neptunian,non-habitable,3.72,2.69,0.19,0.51,1.18,521,521,521,0.7,26.41,0.165,0.17,Kepler-1045,Lyra,G,0.86,0.82,5301,0.476375,4.47,971,1,0,0.532,1.273,0.29,0,0
Kepler-1046 b,Superterran,non-habitable,5.68,1.71,1.13,1.93,1.82,776.7,776.7,776.7,6.4,14.38,0.1172,0.12,Kepler-1046,Cygnus,G,1.04,1.04,5913,1.186283,3.63,518,1,0,0.811,1.904,0.28,0,0
Kepler-1047 b,Superterran,non-habitable,12.15,2.08,1.34,2.8,2.41,497,497,497,16.3,56.19,0.2945,0.29,Kepler-1047,Cygnus,G,1.08,1.13,5754,1.255817,4.47,566,2,0,0.842,1.985,0.34,0,0
Kepler-1047 c,Terran,non-habitable,0.83,0.99,0.86,0.85,0.92,1293.2,1293.2,1293.2,0.7,3.19,0.0435,0.04,Kepler-1047,Cygnus,G,1.08,1.13,5754,1.255817,4.47,566,2,0,0.842,1.985,0.3,0,0
Kepler-1048 b,Superterran,non-habitable,4.54,1.61,1.08,1.74,1.68,675.3,675.3,675.3,4.9,6.92,0.0646,0.06,Kepler-1048,Lyra,K,0.75,0.7,4651,0.205718,3.98,415,1,0,0.361,0.885,0.3,0,0
Kepler-1049 b,Terran,non-habitable,0.74,0.95,0.86,0.81,0.88,642.4,642.4,642.4,0.6,3.27,0.0345,0.03,Kepler-1049,Cygnus,M,0.51,0.49,3864,0.048021,3.8,129,1,0,0.178,0.454,0.33,0,0
Kepler-1050 b,Superterran,non-habitable,4.42,1.6,1.08,1.72,1.66,798.3,798.3,798.3,4.8,15.38,0.1245,0.12,Kepler-1050,Draco,F,1.09,1.13,6010,1.494668,3.55,555,2,0,0.905,2.119,0.29,0,0
Kepler-1050 c,Terran,non-habitable,3.31,1.48,1.02,1.52,1.5,718.1,718.1,718.1,3.4,21.13,0.1539,0.15,Kepler-1050,Draco,F,1.09,1.13,6010,1.494668,3.55,555,2,0,0.905,2.119,0.3,0,0
Kepler-1051 b,Neptunian,non-habitable,7.73,3.39,0.2,0.67,1.51,880.5,880.5,880.5,1.5,25.96,0.1933,0.19,Kepler-1051,Cygnus,F,1.43,1.73,6675,5.330735,1.74,1021,1,0,1.643,3.803,0.2,0,0
Kepler-1052 b,Neptunian,non-habitable,4.86,2.92,0.19,0.57,1.29,573.8,573.8,573.8,0.9,34.85,0.2108,0.21,Kepler-1052,Cygnus,G,1.03,1.03,5888,1.144025,3.55,1051,1,0,0.797,1.873,0.26,0,0
Kepler-1053 b,Terran,non-habitable,0.8,0.97,0.86,0.84,0.9,929.5,929.5,929.5,0.7,2.41,0.0319,0.03,Kepler-1053,Lyra,K,0.74,0.69,4529,0.17972,3.09,171,1,0,0.339,0.836,0.3,0,0
Kepler-1054 b,Neptunian,non-habitable,3.47,2.63,0.19,0.5,1.15,1347.2,1347.2,1347.2,0.7,4.31,0.0553,0.06,Kepler-1054,Cygnus,F,1.22,1.34,6209,2.394342,2.82,1050,1,0,1.131,2.639,0.23,0,0
Kepler-1055 b,Terran,non-habitable,1.75,1.23,0.94,1.15,1.19,1330.5,1330.5,1330.5,1.6,2.3,0.0338,0.03,Kepler-1055,Cygnus,G,0.98,0.94,5723,0.850434,3.09,422,1,0,0.694,1.638,0.29,0,0
Kepler-1056 b,Neptunian,non-habitable,5.34,3.01,0.2,0.59,1.33,687.8,687.8,687.8,1,27.5,0.1851,0.19,Kepler-1056,Cygnus,F,1.12,1.2,6127,1.820723,2.95,971,1,0,0.991,2.316,0.23,0,0
Kepler-1057 b,Neptunian,non-habitable,7.49,3.36,0.2,0.66,1.49,810.3,810.3,810.3,1.5,14.09,0.1167,0.12,Kepler-1057,Cygnus,G,1.07,1.1,5987,1.394801,3.09,1462,1,0,0.875,2.051,0.21,0,0
Kepler-1058 b,Neptunian,non-habitable,3.87,2.72,0.19,0.52,1.19,266.7,266.7,266.7,0.7,110.97,0.4068,0.41,Kepler-1058,Cygnus,K,0.73,0.69,4644,0.198681,3.39,525,1,1,0.355,0.87,0.67,0,0
Kepler-1059 b,Superterran,non-habitable,5.82,1.72,1.13,1.95,1.84,885,885,885,6.6,3.76,0.043,0.04,Kepler-1059,Lyra,K,0.75,0.72,4906,0.269442,5.37,673,1,0,0.408,0.991,0.28,0,0
Kepler-1060 b,Superterran,non-habitable,21.25,2.37,1.59,3.77,2.99,505.1,505.1,505.1,33.7,46.88,0.2535,0.25,Kepler-1060,Lyra,G,0.99,0.99,5797,0.993055,4.27,861,1,0,0.747,1.759,0.32,0,0
Kepler-1061 b,Superterran,non-habitable,9.95,1.98,1.28,2.53,2.24,1390.5,1390.5,1390.5,12.7,2.76,0.0396,0.04,Kepler-1061,Cygnus,F,1.09,1.07,6067,1.391725,2.14,585,1,0,0.87,2.035,0.26,0,0
Kepler-1062 b,Superterran,non-habitable,6.25,1.76,1.15,2.02,1.89,604.7,604.7,604.7,7.2,9.3,0.0786,0.08,Kepler-1062,Lyra,K,0.75,0.7,4597,0.196329,2.45,388,1,0,0.353,0.868,0.31,0,0
Kepler-1063 b,Terran,non-habitable,3.4,1.49,1.03,1.53,1.51,816.8,816.8,816.8,3.5,14.08,0.1174,0.12,Kepler-1063,Lyra,G,1.09,1.14,5945,1.456489,3.39,365,1,0,0.897,2.103,0.29,0,0
Kepler-1064 b,Terran,non-habitable,3.88,1.55,1.05,1.63,1.59,582.2,582.2,582.2,4.1,16.54,0.1203,0.12,Kepler-1064,Lyra,K,0.85,0.79,5153,0.394807,3.89,374,1,0,0.488,1.174,0.33,0,0
Kepler-1065 b,Neptunian,non-habitable,10.31,3.73,0.2,0.74,1.66,1128.3,1128.3,1128.3,2,3.61,0.0451,0.05,Kepler-1065,Cygnus,G,0.94,0.93,5635,0.782405,4.47,1078,2,0,0.669,1.584,0.19,0,0
Kepler-1065 c,Superterran,non-habitable,4.42,1.6,1.08,1.72,1.66,1298.1,1298.1,1298.1,4.8,2.37,0.0341,0.03,Kepler-1065,Cygnus,G,0.94,0.93,5635,0.782405,4.47,1078,2,0,0.669,1.584,0.28,0,0
Kepler-1066 b,Superterran,non-habitable,20.8,2.36,1.58,3.72,2.97,1448.6,1448.6,1448.6,32.8,1.93,0.0301,0.03,Kepler-1066,Cygnus,G,0.98,0.98,5762,0.949806,3.8,399,1,0,0.732,1.726,0.24,0,0
Kepler-1067 b,Subterran,non-habitable,0.41,0.8,0.82,0.65,0.72,1877,1877,1877,0.3,0.76,0.016,0.02,Kepler-1067,Lyra,G,0.95,0.93,5592,0.758795,4.79,689,1,0,0.661,1.565,0.29,0,0
Kepler-1068 b,Neptunian,non-habitable,9.48,3.63,0.2,0.72,1.62,715.2,715.2,715.2,1.9,16.92,0.1294,0.13,Kepler-1068,Cygnus,G,1.01,1.01,5806,1.040018,4.17,1532,1,0,0.764,1.799,0.21,0,0
Kepler-1069 b,Superterran,non-habitable,4.42,1.6,1.08,1.72,1.66,620.9,620.9,620.9,4.8,23.9,0.1618,0.16,Kepler-1069,Cygnus,G,0.99,0.98,5722,0.923705,4.37,435,1,0,0.724,1.708,0.31,0,0
Kepler-1070 b,Superterran,non-habitable,5.82,1.72,1.13,1.95,1.84,1194.3,1194.3,1194.3,6.6,6.22,0.0705,0.07,Kepler-1070,Cygnus,F,1.21,1.32,6261,2.402218,2.75,1040,1,0,1.13,2.632,0.27,0,0
Kepler-1071 b,Superterran,non-habitable,21.25,2.37,1.59,3.77,2.99,826.7,826.7,826.7,33.7,6.18,0.0627,0.06,Kepler-1071,Cygnus,K,0.86,0.81,5215,0.435389,4.27,964,1,0,0.511,1.226,0.25,0,0
Kepler-1072 b,Superterran,non-habitable,4.2,1.58,1.07,1.68,1.63,1874.2,1874.2,1874.2,4.5,1.57,0.0281,0.03,Kepler-1072,Cygnus,F,1.2,1.32,6199,2.308471,2.88,976,1,0,1.111,2.593,0.28,0,0
Kepler-1073 b,Superterran,non-habitable,18.31,2.3,1.51,3.47,2.82,888.4,888.4,888.4,27.7,8.68,0.0826,0.08,Kepler-1073,Cygnus,G,1,1,5792,1.009727,3.72,837,2,0,0.753,1.774,0.25,0,0
Kepler-1073 c,Superterran,non-habitable,4.77,1.64,1.09,1.78,1.71,1147.7,1147.7,1147.7,5.2,4.03,0.0495,0.05,Kepler-1073,Cygnus,G,1,1,5792,1.009727,3.72,837,2,0,0.753,1.774,0.28,0,0
Kepler-1074 b,Terran,non-habitable,1.86,1.25,0.94,1.18,1.22,572.4,572.4,572.4,1.8,5.95,0.0542,0.05,Kepler-1074,Lyra,K,0.6,0.57,4002,0.074774,3.55,245,1,0,0.222,0.561,0.34,0,0
Kepler-1075 b,Terran,non-habitable,2.89,1.42,1,1.43,1.42,877.8,877.8,877.8,2.9,1.52,0.0214,0.02,Kepler-1075,Lyra,K,0.56,0.54,3959,0.064272,2.95,265,1,0,0.206,0.522,0.29,0,0
Kepler-1076 b,Subterran,non-habitable,0.41,0.8,0.82,0.65,0.72,749.5,749.5,749.5,0.3,6.15,0.0607,0.06,Kepler-1076,Cygnus,K,0.79,0.74,4868,0.275902,3.72,199,1,0,0.414,1.006,0.31,0,0
Kepler-1077 b,Neptunian,non-habitable,4.08,2.77,0.19,0.53,1.21,567.7,567.7,567.7,0.8,34.35,0.2081,0.21,Kepler-1077,Lyra,G,1.02,1.02,5816,1.068041,4.17,1098,1,0,0.774,1.821,0.27,0,0
Kepler-1078 b,Superterran,non-habitable,8.48,1.9,1.23,2.34,2.11,1187.7,1187.7,1187.7,10.4,3.01,0.0399,0.04,Kepler-1078,Cygnus,G,0.94,0.92,5612,0.753245,4.37,1215,1,0,0.658,1.557,0.26,0,0
Kepler-1079 b,Superterran,non-habitable,4.65,1.62,1.09,1.76,1.69,883.2,883.2,883.2,5.1,13.25,0.1124,0.11,Kepler-1079,Cygnus,G,1.08,1.36,5758,1.824124,6.61,481,1,0,1.015,2.392,0.28,0,0
Kepler-1080 b,Neptunian,non-habitable,6.97,3.28,0.2,0.65,1.46,467.3,467.3,467.3,1.4,77.25,0.3664,0.37,Kepler-1080,Cygnus,G,1.1,1.16,5956,1.519234,3.89,688,1,0,0.915,2.146,0.3,0,0
Kepler-1081 b,Terran,non-habitable,0.89,1.01,0.87,0.88,0.94,1005.9,1005.9,1005.9,0.8,3.86,0.0461,0.05,Kepler-1081,Lyra,G,0.88,0.84,5345,0.516701,4.68,425,1,0,0.553,1.32,0.3,0,0
Kepler-1082 b,Terran,non-habitable,1.27,1.12,0.9,1.01,1.06,1716.6,1716.6,1716.6,1.1,1.54,0.0264,0.03,Kepler-1082,Cygnus,G,1.03,1.14,5923,1.435048,5.75,628,1,0,0.891,2.092,0.29,0,0
Kepler-1083 b,Neptunian,non-habitable,7.49,3.36,0.2,0.66,1.49,449.1,449.1,449.1,1.5,33.42,0.1892,0.19,Kepler-1083,Lyra,K,0.81,0.77,5049,0.345695,4.68,912,1,0,0.459,1.109,0.31,0,0
Kepler-1084 b,Terran,non-habitable,1.23,1.11,0.9,1,1.05,1683.1,1683.1,1683.1,1.1,2.05,0.0328,0.03,Kepler-1084,Cygnus,F,1.12,1.28,6113,2.052709,4.07,427,1,0,1.054,2.462,0.29,0,0
Kepler-1085 b,Jovian,non-habitable,76.99,7.21,0.21,1.48,3.27,329.1,329.1,329.1,15.8,219.32,0.7368,0.74,Kepler-1085,Lyra,F,1.11,1.14,6000,1.51114,3.39,1518,1,0,0.91,2.133,0.37,0,0
Kepler-1086 b,Superterran,non-habitable,24.12,2.44,1.66,4.05,3.14,444.7,444.7,444.7,40,18.78,0.1228,0.12,Kepler-1086,Cygnus,K,0.7,0.66,4350,0.139938,2.88,464,2,1,0.301,0.748,0.36,0,0
Kepler-1086 c,Neptunian,non-habitable,4.92,2.93,0.19,0.57,1.29,217.1,217.1,217.1,1,161.52,0.5153,0.52,Kepler-1086,Cygnus,K,0.7,0.66,4350,0.139938,2.88,464,2,1,0.301,0.748,0.59,0,0
Kepler-1087 b,Subterran,non-habitable,0.17,0.6,0.78,0.47,0.53,1942.6,1942.6,1942.6,0.1,0.69,0.0151,0.02,Kepler-1087,Cygnus,G,0.96,0.94,5589,0.773539,3.55,354,1,0,0.667,1.581,0.27,0,0
Kepler-1088 b,Terran,non-habitable,2.89,1.42,1,1.43,1.42,678.2,678.2,678.2,2.9,23.13,0.163,0.16,Kepler-1088,Lyra,G,1.08,1.08,5975,1.333795,3.02,300,1,0,0.856,2.008,0.31,0,0
Kepler-1089 b,Superterran,non-habitable,7.21,1.83,1.19,2.16,1.99,535.4,535.4,535.4,8.5,5.13,0.0468,0.05,Kepler-1089,Cygnus,M,0.52,0.49,3753,0.042736,3.72,227,1,0,0.168,0.432,0.33,0,0
Kepler-1090 b,Superterran,mesoplanet,16.81,2.25,1.47,3.32,2.73,266.9,266.9,266.9,24.8,198.68,0.6335,0.63,Kepler-1090,Cygnus,G,0.86,0.82,5321,0.483605,4.37,702,1,1,0.536,1.28,0.72,1,0
Kepler-1091 b,Terran,non-habitable,3.14,1.46,1.02,1.48,1.47,1656.8,1656.8,1656.9,3.2,1.43,0.025,0.02,Kepler-1091,Cygnus,G,1.01,1.03,5851,1.115539,3.47,915,1,0,0.789,1.856,0.28,0,0
Kepler-1092 b,Superterran,non-habitable,11.88,2.07,1.34,2.77,2.39,476.5,476.5,476.5,15.9,58.6,0.2942,0.29,Kepler-1092,Cygnus,G,0.99,1,5862,1.059432,3.8,914,1,0,0.769,1.807,0.35,0,0
Kepler-1093 b,Superterran,non-habitable,9.29,1.95,1.26,2.45,2.18,712.7,712.7,712.7,11.7,25.08,0.1746,0.17,Kepler-1093,Lyra,F,1.13,1.2,6166,1.867525,2.95,848,2,0,1.002,2.339,0.28,0,0
Kepler-1093 c,Superterran,non-habitable,9.51,1.96,1.26,2.47,2.2,466,466,466,12,89.72,0.4084,0.41,Kepler-1093,Lyra,F,1.13,1.2,6166,1.867525,2.95,848,2,0,1.002,2.339,0.37,0,0
Kepler-1094 b,Neptunian,non-habitable,6.33,3.18,0.2,0.63,1.41,485.1,485.1,485.1,1.2,78.1,0.3735,0.37,Kepler-1094,Cygnus,F,1.14,1.21,6112,1.833133,3.09,1371,1,0,0.996,2.327,0.29,0,0
Kepler-1095 b,Terran,non-habitable,1.65,1.21,0.93,1.12,1.17,1065.3,1065.3,1065.3,1.5,4.27,0.0505,0.05,Kepler-1095,Cygnus,G,0.94,0.92,5658,0.778247,4.47,758,1,0,0.667,1.576,0.29,0,0
Kepler-1096 b,Terran,non-habitable,1.81,1.24,0.94,1.17,1.21,810.4,810.4,810.4,1.7,2.89,0.0346,0.03,Kepler-1096,Cygnus,K,0.66,0.63,4306,0.122424,3.8,344,1,0,0.282,0.702,0.3,0,0
Kepler-1097 b,Neptunian,non-habitable,6.82,3.26,0.2,0.64,1.45,263.5,263.5,263.5,1.3,187.75,0.6005,0.6,Kepler-1097,Lyra,K,0.82,0.79,5211,0.412884,4.9,738,1,1,0.498,1.194,0.62,0,0
Kepler-1098 b,Terran,non-habitable,2.1,1.3,0.96,1.25,1.27,1333.6,1333.6,1333.6,2,2.54,0.0363,0.04,Kepler-1098,Cygnus,G,0.99,0.99,5794,0.991001,3.98,876,1,0,0.746,1.758,0.29,0,0
Kepler-1099 b,Neptunian,non-habitable,4.34,2.82,0.19,0.55,1.24,1419.2,1419.2,1419.2,0.8,2.17,0.0329,0.03,Kepler-1099,Cygnus,G,1.01,1,5837,1.041474,3.63,1209,1,0,0.763,1.795,0.22,0,0
Kepler-1100 b,Superterran,non-habitable,6.1,1.75,1.14,2,1.87,1188,1188,1188,7,6.42,0.072,0.07,Kepler-1100,Cygnus,F,1.21,1.34,6247,2.453497,2.69,940,1,0,1.142,2.663,0.27,0,0
Kepler-1101 b,Superterran,non-habitable,25.16,2.46,1.68,4.14,3.2,393.7,393.7,393.7,42.3,81.32,0.3597,0.36,Kepler-1101,Cygnus,G,0.94,0.91,5614,0.73801,4.27,897,1,0,0.651,1.541,0.42,0,0
Kepler-1102 b,Neptunian,non-habitable,3.57,2.65,0.19,0.51,1.16,473.9,473.9,473.9,0.7,51.33,0.2666,0.27,Kepler-1102,Draco,G,0.96,0.94,5724,0.851029,4.37,986,1,0,0.695,1.639,0.32,0,0
Kepler-1103 b,Superterran,non-habitable,17.55,2.27,1.49,3.39,2.78,748.2,748.2,748.2,26.2,19.79,0.1482,0.15,Kepler-1103,Cygnus,F,1.11,1.15,6092,1.634275,3.31,921,1,0,0.941,2.201,0.26,0,0
Kepler-1104 b,Terran,non-habitable,1.75,1.23,0.94,1.15,1.19,1341.2,1341.2,1341.2,1.6,5.04,0.0628,0.06,Kepler-1104,Cygnus,F,1.3,1.41,6417,3.024518,2.04,516,1,0,1.256,2.918,0.29,0,0
Kepler-1105 b,Superterran,non-habitable,10.4,2,1.29,2.59,2.28,720.8,720.8,720.8,13.4,4.42,0.047,0.05,Kepler-1105,Lyra,K,0.71,0.68,4299,0.141702,8.71,369,1,0,0.303,0.756,0.27,0,0
Kepler-1106 b,Superterran,non-habitable,4.89,1.65,1.1,1.8,1.72,1897.3,1897.3,1897.3,5.4,1.25,0.0235,0.02,Kepler-1106,Cygnus,F,1.11,1.17,6104,1.704982,3.09,1168,1,0,0.961,2.246,0.27,0,0
Kepler-1107 b,Terran,non-habitable,2.37,1.34,0.97,1.31,1.33,1858.6,1858.6,1858.6,2.3,0.57,0.0128,0.01,Kepler-1107,Lyra,K,0.86,0.82,5268,0.464623,4.47,457,1,0,0.527,1.261,0.29,0,0
Kepler-1108 b,Terran,non-habitable,3.14,1.46,1.02,1.48,1.47,965.7,965.7,965.7,3.2,4.51,0.0512,0.05,Kepler-1108,Cygnus,G,0.88,0.84,5406,0.540695,4.17,764,1,0,0.564,1.343,0.29,0,0
Kepler-1109 b,Superterran,non-habitable,14.78,2.18,1.42,3.1,2.6,566,566,566,21,37.65,0.2234,0.22,Kepler-1109,Lyra,G,1.05,1.06,5893,1.215759,3.8,797,1,0,0.822,1.93,0.3,0,0
Kepler-1110 b,Neptunian,non-habitable,3.57,2.65,0.19,0.51,1.16,623.2,623.2,623.2,0.7,9.69,0.0801,0.08,Kepler-1110,Lyra,K,0.73,0.7,4781,0.2297,4.79,726,1,0,0.379,0.925,0.26,0,0
Kepler-1111 b,Superterran,non-habitable,10.17,1.99,1.28,2.56,2.26,979.5,979.5,979.5,13.1,8.8,0.0861,0.09,Kepler-1111,Cygnus,F,1.1,1.15,6077,1.618238,3.16,1142,1,0,0.937,2.193,0.26,0,0
Kepler-1112 b,Neptunian,non-habitable,5.34,3.01,0.2,0.59,1.33,995.6,995.6,995.6,1,14.36,0.1275,0.13,Kepler-1112,Cygnus,F,1.34,1.54,6496,3.78892,2.09,1734,1,0,1.399,3.247,0.21,0,0
Kepler-1113 b,Neptunian,non-habitable,4.29,2.81,0.19,0.54,1.24,569.5,569.5,569.5,0.8,42.3,0.2467,0.25,Kepler-1113,Lyra,G,1.12,1.17,5931,1.519754,3.55,1127,1,0,0.917,2.151,0.27,0,0
Kepler-1114 b,Terran,non-habitable,2.37,1.34,0.97,1.31,1.33,640.8,640.8,640.8,2.3,14.97,0.1135,0.11,Kepler-1114,Cygnus,G,0.87,0.83,5374,0.51551,4.27,427,1,0,0.552,1.315,0.32,0,0
