P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
GJ 160.2 b,Neptunian,non-habitable,10.2,3.72,0.2,0.74,1.66,694.8,715.2,737.8,2,5.24,0.053,0.05,GJ 160.2,Eridanus,M0V,0.69,0.74,4347,0.174593,,23.12,1,0,0.336,0.836,0.27,0,0
GJ 163 b,Neptunian,non-habitable,10.62,3.77,0.2,0.75,1.68,328.4,330.1,331.9,2.1,8.63,0.0607,0.06,GJ 163,Dorado,M3.5,0.4,0.23,3840,0.01038,3,15,3,1,0.083,0.212,0.57,0,0
GJ 163 c,Superterran,psychroplanet,7.26,1.83,1.19,2.17,1.99,219.6,229.5,241.3,8.6,25.64,0.1254,0.12,GJ 163,Dorado,M3.5,0.4,0.23,3840,0.01038,3,15,3,1,0.083,0.212,0.73,1,0
GJ 163 d,Neptunian,non-habitable,22.08,4.81,0.2,0.96,2.14,67.9,79.4,103.5,4.4,600.89,1.0269,0.94,GJ 163,Dorado,M3.5,0.4,0.23,3840,0.01038,3,15,3,1,0.083,0.212,0.23,0,0
GJ 176 b,Superterran,non-habitable,8.43,1.9,1.23,2.33,2.11,439.8,439.8,439.8,10.3,8.78,0.066,0.07,GJ 176,Taurus,M2.5V,0.49,0.53,3520,0.038691,,9.42,1,0,0.161,0.417,0.39,0,0
GJ 179 b,Jovian,non-habitable,260.71,9.89,0.27,2.66,5.13,53.6,58.8,66.4,70.2,2288,2.41,2.36,GJ 179,Orion,M3.5,0.36,0.38,3370,0.01671,,12.3,1,0,0.106,0.277,0.13,0,0
GJ 180 b,Superterran,mesoplanet,8.3,1.89,1.22,2.32,2.09,254.5,267.9,284.2,10.2,17.38,0.103,0.1,GJ 180,Eridanus,M2V,0.43,0.34,3371,0.013018,,11.69,2,2,0.093,0.244,0.75,1,0
GJ 180 c,Superterran,mesoplanet,6.4,1.77,1.16,2.04,1.9,229.5,239.5,251.2,7.4,24.33,0.129,0.13,GJ 180,Eridanus,M2V,0.43,0.34,3371,0.013018,,11.69,2,2,0.093,0.244,0.77,1,0
GJ 221  BD-06 1339 d,Neptunian,non-habitable,28.93,5.26,0.2,1.05,2.35,232,236.6,241.5,5.7,500,1.06,1.06,GJ 221  BD-06 1339,Orion,K7V/M0V,0.7,1.64,4324,0.835718,4.4,20,1,1,0.735,1.832,0.63,0,0
GJ 229 b,Neptunian,non-habitable,32.01,5.44,0.2,1.08,2.43,113.6,119.1,125.6,6.4,471,0.97,0.97,GJ 229,Lepus,M1/M2V,0.58,0.56,3564,0.045066,,5.75,1,0,0.173,0.449,0.26,0,0
