PLZ,Gemeinde,Land,SCB
3280,Meyriez,CH,3
3282,Bargen,CH,5
3282,Bargen ,CH,3
3283,Kallnach,CH,20
3284,Fräschels,CH,1
3285,Galmiz,CH,11
3286,Muntelier,CH,7
3292,Busswil,CH,31
3293,Dotzigen,CH,13
3294,Büren,CH,19
3294,Meienried,CH,1
3295,Rüti,CH,1
3296,Arch,CH,9
3297,Leuzigen,CH,4
3298,Oberwil,CH,9
3302,Moosseedorf,CH,81
3303,Jegenstorf,CH,78
3303,Münchringen,CH,7
3303,Zuzwil,CH,5
3303,Zuzwil ,CH,5
3305,Iffwil,CH,9
3306,Etzelkofen,CH,5
3307,Brunnenthal,CH,10
3308,Grafenried,CH,17
3309,Kernenried,CH,6
3309,Zauggenried,CH,11
3310,Münsingen,CH,1
3312,Fraubrunnen,CH,28
3313,Büren zum Hof,CH,5
3314,Schalunen,CH,3
3315,Kräiligen,CH,11
3315,Bätterkinden,CH,27
3317,Limpach,CH,3
3317,Mülchi,CH,3
3321,Schönbühl,CH,4
3322,Mattstetten,CH,9
3322,Urtenen-Schönbühl,CH,104
3322,Urtenen-Schonbühl,CH,1
3323,Bäriswil,CH,14
3324,Hindelbank,CH,40
3325,Hettiswil ,CH,6
3325,Hettiswil,CH,11
3326,Krauchthal,CH,22
3352,Wynigen,CH,1
3360,Herzogenbuchsee,CH,26
3361,Uetendorf,CH,1
3362,Niederönz,CH,4
3363,Oberönz,CH,3
3365,Seeberg,CH,3
3365,Grasswil,CH,1
3366,Bettenhausen,CH,2
3367,Thörigen,CH,4
3368,Bleienbach,CH,4
3373,Röthenbach,CH,2
3374,Wangenried,CH,1
3375,Inkwil,CH,5
3377,Walliswil,CH,5
3380,Wangen,CH,11
3400,Burgdorf,CH,64
3401,Burgdorf,CH,5
3412,Heimiswil,CH,9
3412,Hemiswil,CH,1
3413,Heimiswil,CH,1
3413,Kaltacker,CH,3
3414,Oberburg,CH,22
3415,Schafhausen,CH,3
3415,Hasle-Rüegsau,CH,11
3415,Rüegsauschachen,CH,13
3416,Affoltern i. Emmental,CH,1
3417,Rüegsau,CH,1
3419,Biembach,CH,2
3421,Lyssach,CH,22
3422,Kirchberg ,CH,23
3422,Kirchberg,CH,38
3422,Alchenflüh,CH,6
3422,Rüdtligen,CH,7
3423,Ersigen,CH,13
3424,Oberösch,CH,1
3424,Niederösch,CH,1
3425,Koppigen,CH,40
3425,Willadingen,CH,2
3426,Aefligen,CH,18
3427,Utzenstorf,CH,53
3427,Utzenstorf ,CH,1
3428,Wiler,CH,3
3429,Höchstetten,CH,2
3429,Hellsau,CH,2
3432,Lützelflüh,CH,12
3433,Schwanden,CH,1
3434,Landiswil,CH,1
3434,Obergoldbach,CH,1
3435,Ramsei,CH,2
3436,Zollbrück,CH,3
3452,Grünenmatt,CH,5
3453,Heimisbach,CH,1
3454,Sumiswald,CH,9
3455,Grünen,CH,2
3457,Wasen,CH,9
3463,Häusernmoos,CH,2
3464,Schmidigen-Mühleweg,CH,1
3472,Wynigen,CH,10
3473,Alchenstorf,CH,7
3474,Rüedisbach,CH,1
3475,Riedtwil,CH,3
3475,Hermiswil,CH,1
3503,Gysenstein,CH,3
3504,Niederhünigen,CH,1
3506,Grosshöchstetten,CH,22
3506,Grosshochstetten,CH,1
3507,Biglen,CH,19
3508,Arni,CH,5
3508,Arni ,CH,2
3510,Konolfingen,CH,48
3510,Freimettigen,CH,3
3510,Häutligen,CH,1
3512,Walkringen,CH,6
3513,Bigenthal,CH,3
3532,Zäziwil,CH,15
3532,Mirchel,CH,2
3533,Bowil,CH,2
3536,Aeschau,CH,1
3550,Langnau,CH,7
3552,Bärau,CH,1
3553,Gohl,CH,1
3555,Trubschachen,CH,3
3556,Trub,CH,1
3600,Thun,CH,75
3601,Thun,CH,3
3602,Thun,CH,1
3603,Thun,CH,12
3604,Thun,CH,95
3604,Thun ,CH,1
3608,Thun,CH,13
3612,Steffisburg,CH,57
3613,Steffisburg,CH,27
3614,Unterlangenegg,CH,1
